model,dataset,demographics,auc,iteration,metric
nb-sbert-base,rai,Unknown,0.2220337892353907,0,spearman
M2V_base_output,rai,Mand,0.1238933172153043,0,spearman
model2vecdk,rai,Mand,0.16991310776495994,0,spearman
dfm-sentence-encoder-large,welfare,11,0.19602240589200823,0,spearman
mxbai-embed-large-v1,rai,Mand,0.13806759383672912,0,spearman
snowflake-arctic-embed-l-v2.0,rai,Mand,0.1947396498114195,0,spearman
potion-base-8M,welfare,4,0.16131155415876555,0,spearman
multilingual-e5-base,rai,Mand,0.1736567536535103,0,spearman
static-similarity-mrl-multilingual-v1,welfare,4,0.16887700768910693,0,spearman
potion-base-2M,welfare,3,0.10970817885534585,0,spearman
mmBERTscandi-base-embedding,welfare,1,0.19032834898429474,0,spearman
xlm-roberta-base,welfare,1,0.09040228810841398,0,spearman
static-similarity-mrl-multilingual-v1,rai,Unknown,0.10753687732046534,0,spearman
M2V_base_output,welfare,2,0.04477750943045154,0,spearman
multilingual-e5-base,welfare,4,0.1811558050047688,0,spearman
xlm-roberta-base,welfare,3,0.0815849718124755,0,spearman
mxbai-embed-large-v1,welfare,11,0.11963807538861293,0,spearman
xlm-roberta-base,welfare,11,0.10859691439400777,0,spearman
m2v-dfm-large,welfare,1,0.21544618592436052,0,spearman
LaBSE,rai,Mand,0.17712924599508767,0,spearman
LaBSE,welfare,1,0.23594836872780928,0,spearman
bge-m3,welfare,1,0.26112205722382087,0,spearman
multilingual-e5-large,welfare,2,0.21345180045521622,0,spearman
M2V_base_glove,welfare,4,0.10709644513064687,0,spearman
multilingual-e5-large-instruct,rai,Kvinde,0.24726591880347576,0,spearman
potion-base-4M,rai,Unknown,0.08079718845678033,0,spearman
text-embedding-ada-002,welfare,4,0.2229450730352775,0,spearman
potion-base-2M,welfare,4,0.14350091770184467,0,spearman
multilingual-e5-large-instruct,welfare,11,0.23911333660558717,0,spearman
M2V_base_glove_subword,welfare,11,0.1388282662029559,0,spearman
snowflake-arctic-embed-l-v2.0,welfare,1,0.25683575220816546,0,spearman
text-embedding-ada-002,welfare,2,0.20166455401709044,0,spearman
text-embedding-3-large,welfare,1,0.2679297547643972,0,spearman
xlm-roberta-base,welfare,4,0.10018444489455572,0,spearman
text-embedding-ada-002,welfare,11,0.2829649523144435,0,spearman
m2v-dfm-large,welfare,2,0.17471954150858673,0,spearman
text-embedding-3-large,welfare,4,0.22076882548855029,0,spearman
M2V_base_output,welfare,11,0.1559494428231465,0,spearman
nb-sbert-base,welfare,1,0.28226156711526396,0,spearman
dfm-sentence-encoder-large,welfare,2,0.14490578755987568,0,spearman
EmbeddingGemma-Scandi-300m,rai,Kvinde,0.20327051472493052,0,spearman
xlm-roberta-base,rai,Unknown,0.18613806739044195,0,spearman
static-similarity-mrl-multilingual-v1,welfare,1,0.20536895207364186,0,spearman
potion-base-8M,welfare,11,0.1532353126331489,0,spearman
LaBSE,welfare,2,0.21867388240158858,0,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,3,0.2519804801363581,0,spearman
text-embedding-ada-002,welfare,1,0.26994519578345816,0,spearman
Qwen3-Embedding-0.6B,welfare,4,0.007553470819548721,0,spearman
potion-base-4M,welfare,3,0.10583862336122767,0,spearman
text-embedding-ada-002,rai,Mand,0.19794568488850042,0,spearman
LaBSE,welfare,11,0.24636503942409074,0,spearman
potion-base-8M,rai,Unknown,0.0737121472456514,0,spearman
multilingual-e5-small,welfare,3,0.15953315095742718,0,spearman
potion-multilingual-128M,rai,Mand,0.16763039147119516,0,spearman
bge-m3,welfare,4,0.21624258780822772,0,spearman
text-embedding-3-small,rai,Mand,0.18308028549844255,0,spearman
multilingual-e5-base,rai,Kvinde,0.19483100060377315,0,spearman
m2v-dfm-large,welfare,4,0.1969645947496441,0,spearman
text-embedding-3-small,rai,Kvinde,0.20598208719951355,0,spearman
static-similarity-mrl-multilingual-v1,rai,Mand,0.14501373027876008,0,spearman
M2V_base_glove_subword,welfare,3,0.07848208143541824,0,spearman
mmBERTscandi-base-embedding,welfare,4,0.2137113986823886,0,spearman
potion-base-4M,welfare,2,0.073479059021345,0,spearman
Qwen3-Embedding-0.6B,welfare,2,0.08259131858113943,0,spearman
paraphrase-multilingual-MiniLM-L12-v2,rai,Unknown,0.2237537582535011,0,spearman
bge-m3,rai,Kvinde,0.22216349390186382,0,spearman
model2vecdk,rai,Kvinde,0.187638376673937,0,spearman
bge-m3,welfare,11,0.2866088562011386,0,spearman
potion-multilingual-128M,rai,Unknown,0.1945137323167953,0,spearman
paraphrase-multilingual-mpnet-base-v2,welfare,2,0.2542441643081538,1,spearman
multilingual-e5-base,rai,Unknown,0.22011946727445997,1,spearman
M2V_base_glove_subword,rai,Kvinde,0.10769307365843907,1,spearman
mmBERTscandi-base-embedding,welfare,4,0.21382142050953898,1,spearman
Qwen3-Embedding-0.6B,welfare,3,0.02716974421275284,1,spearman
xlm-roberta-large,welfare,11,0.13910169759407492,1,spearman
text-embedding-3-large,welfare,1,0.2649597390823163,1,spearman
mmBERTscandi-base-embedding,welfare,3,0.16038153836268665,1,spearman
potion-multilingual-128M,rai,Kvinde,0.1557387987893644,1,spearman
potion-base-2M,rai,Mand,0.12351075081549535,1,spearman
xlm-roberta-base,welfare,2,0.04071047306969789,1,spearman
nb-sbert-base,welfare,1,0.27226967074529423,1,spearman
text-embedding-3-small,welfare,3,0.25820878980411294,1,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,4,0.13415643855401738,1,spearman
potion-multilingual-128M,rai,Unknown,0.18805508997541748,1,spearman
Qwen3-Embedding-Scandi-0.6B,rai,Kvinde,0.1538031909341332,1,spearman
text-embedding-ada-002,welfare,4,0.21828015490978495,1,spearman
M2V_base_glove_subword,welfare,4,0.1335876150867222,1,spearman
EmbeddingGemma-Scandi-300m,rai,Kvinde,0.20085483352150565,1,spearman
multilingual-e5-large,welfare,4,0.19647120955721123,1,spearman
M2V_base_glove_subword,rai,Mand,0.1227603981732113,1,spearman
mxbai-embed-large-v1,welfare,4,0.13008184788188212,1,spearman
potion-base-4M,welfare,1,0.1034199326212384,1,spearman
M2V_base_output,rai,Kvinde,0.10971751691841833,1,spearman
text-embedding-ada-002,welfare,3,0.2141580395886747,1,spearman
nb-sbert-base,welfare,4,0.25586502549176676,1,spearman
m2v-dfm-large,welfare,2,0.16704588176236732,1,spearman
potion-base-2M,welfare,11,0.15738974242119058,1,spearman
multilingual-e5-base,welfare,3,0.19707245375779325,1,spearman
M2V_base_glove,rai,Unknown,0.07966341153414334,1,spearman
Qwen3-Embedding-Scandi-0.6B,rai,Unknown,0.2192043306803518,1,spearman
text-embedding-ada-002,welfare,1,0.27212535515122377,1,spearman
EmbeddingGemma-Scandi-300m,welfare,3,0.3036171792074051,1,spearman
potion-base-4M,rai,Unknown,0.10381250327790453,1,spearman
bge-m3,rai,Unknown,0.219236092259766,1,spearman
nb-sbert-base,welfare,11,0.2692787959404747,1,spearman
LaBSE,welfare,2,0.22995139713541465,1,spearman
model2vecdk,welfare,3,0.24713544861102657,1,spearman
multilingual-e5-small,welfare,3,0.17069878384192105,1,spearman
dfm-sentence-encoder-large,welfare,11,0.19330258146056392,1,spearman
LaBSE,welfare,3,0.21746016542355953,1,spearman
text-embedding-3-small,rai,Kvinde,0.2043046839933957,1,spearman
mxbai-embed-large-v1,rai,Kvinde,0.12194833373758204,1,spearman
xlm-roberta-large,welfare,3,0.13183379671308107,1,spearman
multilingual-e5-large,welfare,3,0.21488428164586312,1,spearman
dfm-sentence-encoder-large,welfare,2,0.15508357409240772,1,spearman
text-embedding-ada-002,rai,Kvinde,0.20780656703202272,1,spearman
paraphrase-multilingual-mpnet-base-v2,welfare,1,0.3238979076009611,1,spearman
Qwen3-Embedding-0.6B,welfare,4,0.003819722369468731,1,spearman
xlm-roberta-large,rai,Kvinde,0.11496210890779672,1,spearman
text-embedding-3-small,rai,Unknown,0.19850371123969865,1,spearman
Qwen3-Embedding-0.6B,welfare,1,0.07652274535608826,1,spearman
LaBSE,rai,Kvinde,0.171686322453793,1,spearman
multilingual-e5-base,welfare,11,0.2244161646661028,1,spearman
mxbai-embed-large-v1,welfare,1,0.13154840039450033,1,spearman
paraphrase-multilingual-mpnet-base-v2,rai,Unknown,0.24758596378172287,1,spearman
multilingual-e5-large-instruct,welfare,3,0.2591939419925134,1,spearman
potion-base-4M,rai,Mand,0.11378384459288014,1,spearman
mxbai-embed-large-v1,rai,Mand,0.13765685020135135,1,spearman
potion-base-8M,welfare,3,0.11252777542233021,1,spearman
potion-multilingual-128M,welfare,1,0.23037276418595257,1,spearman
m2v-dfm-large,rai,Kvinde,0.19544610207383542,1,spearman
bge-m3,rai,Kvinde,0.21936894123240533,1,spearman
multilingual-e5-large-instruct,rai,Unknown,0.2690335230462176,1,spearman
potion-base-8M,rai,Unknown,0.08125109605128039,1,spearman
M2V_base_glove_subword,welfare,1,0.08176769390289454,1,spearman
mmBERTscandi-base-embedding,welfare,2,0.14584245283634875,1,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,2,0.24369663942075206,1,spearman
multilingual-e5-small,welfare,1,0.20189034255271465,1,spearman
multilingual-e5-large-instruct,welfare,11,0.23791507404753018,1,spearman
text-embedding-3-small,welfare,2,0.2521642413337497,1,spearman
dfm-sentence-encoder-large,welfare,3,0.15756692292342173,1,spearman
potion-multilingual-128M,rai,Mand,0.1633533264163245,1,spearman
mmBERTscandi-base-embedding,rai,Mand,0.15142384908939927,1,spearman
multilingual-e5-base,rai,Kvinde,0.19350497281353912,1,spearman
nb-sbert-base,rai,Unknown,0.2254815656398537,1,spearman
snowflake-arctic-embed-l-v2.0,rai,Unknown,0.2024090895354087,1,spearman
bge-m3,welfare,2,0.2418447365254087,1,spearman
static-similarity-mrl-multilingual-v1,welfare,11,0.16599706920312726,1,spearman
xlm-roberta-base,welfare,4,0.09920217344586416,1,spearman
mmBERTscandi-base-embedding,welfare,1,0.19505815847812497,1,spearman
text-embedding-3-small,welfare,11,0.29059755597488757,1,spearman
static-similarity-mrl-multilingual-v1,rai,Kvinde,0.1254908566262693,1,spearman
mxbai-embed-large-v1,welfare,3,0.09911944823473308,1,spearman
EmbeddingGemma-Scandi-300m,welfare,11,0.32818464801172514,1,spearman
M2V_base_glove_subword,rai,Unknown,0.09370659041039756,1,spearman
static-similarity-mrl-multilingual-v1,welfare,2,0.17357787920916737,1,spearman
potion-multilingual-128M,welfare,3,0.2103041591187456,1,spearman
nb-sbert-base,welfare,3,0.24253037095705712,1,spearman
dfm-sentence-encoder-large,rai,Mand,0.1807551014891542,1,spearman
snowflake-arctic-embed-l-v2.0,welfare,2,0.2562950323864614,1,spearman
potion-base-4M,welfare,11,0.16301650012281793,1,spearman
nb-sbert-base,rai,Mand,0.22503026323649564,1,spearman
model2vecdk-stem,welfare,1,0.17999852339056174,1,spearman
m2v-dfm-large,welfare,1,0.21600816036145873,1,spearman
model2vecdk-stem,welfare,2,0.14631542831259134,1,spearman
multilingual-e5-base,rai,Mand,0.17711809376463322,1,spearman
model2vecdk,welfare,11,0.2991818621222211,1,spearman
M2V_base_glove,welfare,4,0.09814868608981571,1,spearman
potion-base-8M,welfare,11,0.1561733991298136,1,spearman
multilingual-e5-large,rai,Mand,0.17913024079952344,1,spearman
multilingual-e5-large,welfare,2,0.21084708671609909,1,spearman
text-embedding-3-small,welfare,1,0.2816025347004094,1,spearman
multilingual-e5-small,welfare,11,0.19868766654773304,1,spearman
M2V_base_glove_subword,welfare,11,0.1449119780319012,1,spearman
mxbai-embed-large-v1,welfare,2,0.07983572370753113,1,spearman
multilingual-e5-small,rai,Kvinde,0.19596591749686326,1,spearman
snowflake-arctic-embed-l-v2.0,welfare,3,0.22732355661557171,1,spearman
EmbeddingGemma-Scandi-300m,rai,Unknown,0.16650233443149923,1,spearman
EmbeddingGemma-Scandi-300m,welfare,2,0.25854466142728594,1,spearman
bge-m3,welfare,11,0.28585851631657266,1,spearman
paraphrase-multilingual-MiniLM-L12-v2,rai,Kvinde,0.20455048839247117,1,spearman
M2V_base_output,welfare,11,0.15551819202118808,1,spearman
potion-base-2M,welfare,3,0.10208897706019494,1,spearman
snowflake-arctic-embed-l-v2.0,rai,Kvinde,0.2166934837387548,1,spearman
M2V_base_output,rai,Mand,0.13075440104786318,1,spearman
potion-base-8M,welfare,1,0.12955521416874766,1,spearman
Qwen3-Embedding-0.6B,rai,Unknown,0.09640920415174038,1,spearman
static-similarity-mrl-multilingual-v1,welfare,1,0.21143296330850397,1,spearman
text-embedding-ada-002,welfare,2,0.18775880077559323,1,spearman
multilingual-e5-base,welfare,2,0.1825301824438435,1,spearman
mmBERTscandi-base-embedding,welfare,11,0.21642644136874334,1,spearman
m2v-dfm-large,welfare,3,0.19577077826005246,1,spearman
potion-base-2M,welfare,1,0.11031953808733058,1,spearman
EmbeddingGemma-Scandi-300m,welfare,1,0.2718633204145174,1,spearman
model2vecdk,welfare,2,0.1984503969020273,1,spearman
potion-base-8M,welfare,4,0.1678132045749881,1,spearman
potion-multilingual-128M,welfare,2,0.17486776614663488,1,spearman
text-embedding-ada-002,welfare,11,0.2663877222766882,1,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,3,0.12360390596081239,1,spearman
model2vecdk,welfare,4,0.2494778987070781,1,spearman
Qwen3-Embedding-0.6B,rai,Kvinde,0.05136200680108349,1,spearman
potion-base-8M,rai,Mand,0.1256209927379608,1,spearman
xlm-roberta-large,welfare,4,0.14597201018932313,1,spearman
m2v-dfm-large,rai,Mand,0.20450200986830933,1,spearman
multilingual-e5-large-instruct,welfare,4,0.20214536439509412,1,spearman
xlm-roberta-large,welfare,1,0.1013883536232107,1,spearman
potion-base-8M,rai,Kvinde,0.10036853469302887,1,spearman
mxbai-embed-large-v1,welfare,11,0.12611991922861576,1,spearman
multilingual-e5-base,welfare,1,0.21145317505678415,1,spearman
xlm-roberta-base,welfare,1,0.09399735192190707,1,spearman
model2vecdk,welfare,1,0.2267558545860502,1,spearman
M2V_base_glove,welfare,11,0.0896349194464649,1,spearman
paraphrase-multilingual-MiniLM-L12-v2,rai,Mand,0.18984061144933168,1,spearman
Qwen3-Embedding-Scandi-0.6B,welfare,11,0.16425858242441643,1,spearman
xlm-roberta-base,rai,Mand,0.1394477801165825,1,spearman
potion-base-4M,welfare,2,0.07611634272463598,1,spearman
dfm-sentence-encoder-large,rai,Kvinde,0.1822562225462475,1,spearman
LaBSE,welfare,4,0.20707253955949637,1,spearman
m2v-dfm-large,welfare,11,0.2326760799698446,1,spearman
paraphrase-multilingual-MiniLM-L12-v2,welfare,1,0.2795280890739879,1,spearman
LaBSE,welfare,11,0.24364780653725734,1,spearman
potion-base-4M,welfare,4,0.1729661476813694,1,spearman
Qwen3-Embedding-0.6B,welfare,11,0.08986937005351055,1,spearman
xlm-roberta-base,welfare,3,0.08522773206431083,1,spearman
M2V_base_glove,welfare,3,0.088556848761461,1,spearman
EmbeddingGemma-Scandi-300m,rai,Mand,0.18774056536371342,1,spearman
multilingual-e5-small,rai,Unknown,0.18959582705915487,1,spearman
