model,dataset,demographics,iteration,auc
multilingual-e5-large-instruct__prompt-grouping,rai,Kvinde,3,0.3796899724954357
Qwen3-Embedding-0.6B__prompt-meaning,rai,Mand,3,0.1275053613905803
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,1,9,0.2384059610655166
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,1,8,0.32361295324139217
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,1,9,0.46145992477942344
Qwen3-Embedding-0.6B__prompt-similarity,rai,Mand,0,0.13479357196834071
Qwen3-Embedding-0.6B__prompt-meaning__ctx-rai,rai,Unknown,7,0.2548226208823572
EmbeddingGemma-Scandi-300m__prompt-cluster,welfare,2,6,0.3835546430081772
EmbeddingGemma-Scandi-300m__prompt-grouping,welfare,2,5,0.38162302671784115
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-rai,rai,Kvinde,5,0.19805435989337594
Qwen3-Embedding-0.6B__prompt-similarity__ctx-rai,rai,Kvinde,5,0.17074062748753233
Qwen3-Embedding-0.6B__prompt-cluster,welfare,4,2,0.1757915575616276
Qwen3-Embedding-0.6B__prompt-grouping__ctx-rai,rai,Kvinde,1,0.11361298258173286
multilingual-e5-large-instruct__prompt-similarity,welfare,4,6,0.38465888253277647
Qwen3-Embedding-0.6B__prompt-meaning,rai,Mand,9,0.12065918243016698
Qwen3-Embedding-0.6B__prompt-similarity__ctx-rai,rai,Kvinde,2,0.17479909158223716
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-rai,rai,Mand,9,0.2452292746332711
Qwen3-Embedding-0.6B__prompt-meaning__ctx-rai,rai,Unknown,0,0.2263857198000178
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-rai,rai,Kvinde,8,0.1914195947197881
Qwen3-Embedding-Scandi-0.6B__prompt-topic,rai,Kvinde,1,0.22538919435021795
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,1,1,0.3799850409734989
EmbeddingGemma-Scandi-300m__prompt-grouping,rai,Mand,2,0.2376025096004113
Qwen3-Embedding-0.6B__prompt-meaning__ctx-welfare,welfare,11,1,0.32996662535925514
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,2,8,0.3532667570013217
Qwen3-Embedding-0.6B__prompt-grouping,welfare,2,1,0.26673565025614293
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,2,0,0.3359792081551864
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,2,4,0.2998142146729628
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-rai,rai,Mand,7,0.24884197695468932
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,11,7,0.4401459170264391
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,1,3,0.3585256428454583
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,2,7,0.44577312163544874
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,11,1,0.2262708593099949
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,2,0,0.33927374855077536
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,3,9,0.3210091527725864
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,3,0,0.43184922859721847
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,1,2,0.43201063636769677
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,3,7,0.4548660970211924
Qwen3-Embedding-0.6B__prompt-grouping__ctx-rai,rai,Unknown,0,0.17132499336918525
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-rai,rai,Mand,0,0.245687023134656
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,4,4,0.2774620467793942
Qwen3-Embedding-0.6B__prompt-meaning__ctx-rai,rai,Mand,3,0.15298687135632846
EmbeddingGemma-Scandi-300m__prompt-cluster,welfare,2,2,0.36248230972158474
Qwen3-Embedding-0.6B__prompt-grouping,rai,Kvinde,9,0.1376224060655947
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-welfare,welfare,3,4,0.3631061061951
multilingual-e5-large-instruct__prompt-grouping,rai,Unknown,8,0.42582650474024714
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,2,7,0.31562750034795256
multilingual-e5-large-instruct__prompt-topic,welfare,11,6,0.4849711196686881
EmbeddingGemma-Scandi-300m__prompt-grouping,rai,Unknown,3,0.2672377150827316
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-rai,rai,Unknown,0,0.2957032275454898
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,11,3,0.4182666310935152
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,2,6,0.22040799772453726
Qwen3-Embedding-0.6B__prompt-meaning,welfare,2,2,0.279899105110213
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,11,6,0.22700474168971474
EmbeddingGemma-Scandi-300m__prompt-cluster,rai,Mand,2,0.251712363723701
Qwen3-Embedding-0.6B__prompt-cluster,welfare,1,0,0.2810411154922259
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,3,5,0.20264945252228292
multilingual-e5-large-instruct__prompt-topic__ctx-rai,rai,Kvinde,3,0.3895309996908465
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,11,6,0.3961986099477566
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-rai,rai,Kvinde,0,0.24010375623968933
Qwen3-Embedding-0.6B__prompt-topic__ctx-rai,rai,Mand,5,0.13992604370291664
Qwen3-Embedding-0.6B__prompt-topic__ctx-rai,rai,Mand,9,0.12904315885263623
EmbeddingGemma-Scandi-300m__prompt-topic,rai,Unknown,3,0.27896092288293833
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-welfare,welfare,1,9,0.2697399462916767
Qwen3-Embedding-0.6B__prompt-topic,welfare,4,8,0.2738984677667781
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-rai,rai,Unknown,2,0.2676890900783097
multilingual-e5-large-instruct__prompt-similarity__ctx-rai,rai,Mand,5,0.34543261571862816
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,2,6,0.3955402843041264
EmbeddingGemma-Scandi-300m__prompt-grouping,rai,Kvinde,3,0.22297238324963822
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,4,8,0.23263772542614033
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,11,6,0.25188842757506624
Qwen3-Embedding-0.6B__prompt-cluster,welfare,3,5,0.21409963534690557
multilingual-e5-large-instruct__prompt-cluster__ctx-welfare,welfare,4,1,0.33417603397007417
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,3,8,0.17304225927359584
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,4,2,0.20820449003309419
Qwen3-Embedding-0.6B__prompt-grouping,rai,Unknown,8,0.2218826219292768
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-rai,rai,Kvinde,9,0.19715769542342038
Qwen3-Embedding-0.6B__prompt-similarity__ctx-rai,rai,Mand,1,0.17037495798058525
multilingual-e5-large-instruct__prompt-cluster__ctx-welfare,welfare,3,2,0.4032140975944003
multilingual-e5-large-instruct__prompt-grouping__ctx-rai,rai,Unknown,0,0.3926140932308576
EmbeddingGemma-Scandi-300m__prompt-cluster,welfare,3,0,0.4194011056013318
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,1,6,0.3846275602099714
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,3,5,0.18117422192402785
Qwen3-Embedding-0.6B__prompt-cluster__ctx-rai,rai,Kvinde,2,0.11134266386286953
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,3,1,0.24012486555037588
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-rai,rai,Kvinde,1,0.23531991292504578
multilingual-e5-large-instruct__prompt-grouping__ctx-welfare,welfare,2,9,0.4103122864069409
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,1,7,0.4367379397320549
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,1,6,0.23298858108193204
multilingual-e5-large-instruct__prompt-grouping,welfare,11,7,0.4213564457866001
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,11,4,0.35553389304698724
EmbeddingGemma-Scandi-300m__prompt-meaning,rai,Kvinde,9,0.2737788615334937
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-welfare,welfare,1,5,0.21100332292336796
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,2,2,0.2909672762038142
multilingual-e5-large-instruct__prompt-cluster__ctx-welfare,welfare,4,5,0.3329846245668217
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,11,2,0.22374408286964365
Qwen3-Embedding-0.6B__prompt-meaning,rai,Mand,6,0.13092666412056325
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,2,8,0.22234281621831836
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,2,8,0.20316251548255695
multilingual-e5-large-instruct__prompt-cluster__ctx-rai,rai,Kvinde,1,0.3369563754449392
Qwen3-Embedding-0.6B__prompt-similarity,welfare,2,5,0.28461832874694776
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-rai,rai,Unknown,4,0.31354448732931567
multilingual-e5-large-instruct__prompt-grouping__ctx-rai,rai,Mand,5,0.3450666761546118
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-rai,rai,Unknown,8,0.26172295926130307
multilingual-e5-large-instruct__prompt-similarity__ctx-rai,rai,Kvinde,2,0.35425047513595853
EmbeddingGemma-Scandi-300m__prompt-cluster,welfare,1,2,0.39817000815043085
multilingual-e5-large-instruct__prompt-similarity,welfare,1,2,0.44631980034943053
Qwen3-Embedding-0.6B__prompt-similarity,welfare,3,3,0.23658502463419423
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-rai,rai,Kvinde,6,0.2346440399350857
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-welfare,welfare,3,4,0.21184510714650562
Qwen3-Embedding-0.6B__prompt-similarity,welfare,4,4,0.1799193828672474
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,11,9,0.343016126033639
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-welfare,welfare,11,7,0.22176939219600214
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,1,1,0.3572924962897435
Qwen3-Embedding-0.6B__prompt-topic,welfare,1,9,0.40628717178679485
multilingual-e5-large-instruct__prompt-meaning,rai,Unknown,6,0.4064065267637807
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-welfare,welfare,11,4,0.23426082262232212
Qwen3-Embedding-0.6B__prompt-cluster,rai,Kvinde,7,0.1436154062914608
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,11,0,0.3589031818910821
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,rai,Kvinde,0,0.21438014632075722
EmbeddingGemma-Scandi-300m__prompt-topic,rai,Unknown,7,0.274618750253602
Qwen3-Embedding-0.6B__prompt-similarity__ctx-rai,rai,Unknown,3,0.24419308767769354
Qwen3-Embedding-0.6B__prompt-cluster__ctx-rai,rai,Unknown,3,0.1768153765484997
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,2,1,0.41510690480390317
Qwen3-Embedding-0.6B__prompt-grouping,welfare,11,4,0.2847062114072976
EmbeddingGemma-Scandi-300m__prompt-topic,rai,Kvinde,4,0.26148920024174804
multilingual-e5-large-instruct__prompt-cluster,welfare,2,0,0.44963807758017005
multilingual-e5-large-instruct__prompt-grouping,welfare,3,3,0.43567466912472647
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-rai,rai,Unknown,7,0.24138217065021902
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,11,9,0.2442323459942484
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,3,8,0.4019257622192646
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,3,5,0.2127080773239364
multilingual-e5-large-instruct__prompt-meaning__ctx-rai,rai,Kvinde,4,0.3318496654814206
multilingual-e5-large-instruct__prompt-similarity,rai,Mand,3,0.3491024697519263
multilingual-e5-large-instruct__prompt-similarity__ctx-rai,rai,Mand,2,0.34160554401204574
Qwen3-Embedding-0.6B__prompt-meaning__ctx-welfare,welfare,4,5,0.21842272998585036
multilingual-e5-large-instruct__prompt-grouping__ctx-rai,rai,Mand,8,0.3428964980542856
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,rai,Unknown,9,0.25453750090425126
Qwen3-Embedding-0.6B__prompt-cluster__ctx-rai,rai,Unknown,2,0.19138904087576794
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,11,6,0.4640264438759274
multilingual-e5-large-instruct__prompt-grouping,welfare,1,0,0.47377547969177003
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,1,0,0.43584190175920673
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-rai,rai,Kvinde,5,0.1893442729323059
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,4,7,0.26923416410242335
EmbeddingGemma-Scandi-300m__prompt-grouping,welfare,3,0,0.40134458582934157
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,1,9,0.2385347494482167
Qwen3-Embedding-0.6B__prompt-grouping,welfare,1,0,0.28676173521797227
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,rai,Mand,3,0.22001458254872144
EmbeddingGemma-Scandi-300m__prompt-cluster,welfare,11,3,0.4674449698488479
EmbeddingGemma-Scandi-300m__prompt-cluster,welfare,11,6,0.43557778589651414
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-rai,rai,Unknown,2,0.3036553899833532
EmbeddingGemma-Scandi-300m__prompt-similarity,rai,Kvinde,2,0.23813321012759425
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,2,7,0.22882674252466995
multilingual-e5-large-instruct__prompt-grouping,welfare,2,6,0.4421337770959032
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-rai,rai,Mand,0,0.2385571497124988
Qwen3-Embedding-0.6B__prompt-grouping,rai,Unknown,9,0.21118048761737973
Qwen3-Embedding-0.6B__prompt-topic__ctx-rai,rai,Unknown,6,0.2035747496951179
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,3,8,0.21354890217638547
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Unknown,3,0.2784740797262184
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,3,9,0.17486141895816218
multilingual-e5-large-instruct__prompt-meaning__ctx-rai,rai,Kvinde,1,0.3252865529999284
Qwen3-Embedding-0.6B__prompt-grouping,welfare,1,6,0.2981757748997632
multilingual-e5-large-instruct__prompt-similarity__ctx-rai,rai,Mand,4,0.3444168811077214
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,rai,Mand,1,0.21553183867937933
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,4,1,0.3784414864966767
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-welfare,welfare,2,8,0.21925724360114388
Qwen3-Embedding-0.6B__prompt-grouping__ctx-rai,rai,Mand,3,0.10267274683299032
Qwen3-Embedding-0.6B__prompt-grouping,rai,Mand,0,0.11956101733564141
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,3,6,0.23764963540951672
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,4,0,0.3390583722232831
multilingual-e5-large-instruct__prompt-meaning,welfare,4,0,0.36081946414264937
multilingual-e5-large-instruct__prompt-similarity__ctx-welfare,welfare,11,6,0.35912091771145366
multilingual-e5-large-instruct__prompt-grouping,welfare,2,1,0.427162687508313
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,1,2,0.23776720080294012
Qwen3-Embedding-0.6B__prompt-grouping,welfare,4,5,0.18862345592899232
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,11,4,0.39861947447552326
Qwen3-Embedding-0.6B__prompt-cluster__ctx-rai,rai,Unknown,7,0.21802419030487005
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,1,2,0.24259948605149084
multilingual-e5-large-instruct__prompt-similarity,welfare,2,6,0.4203450360713748
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-rai,rai,Kvinde,3,0.2395727683765198
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-rai,rai,Kvinde,0,0.2551924018883529
Qwen3-Embedding-0.6B__prompt-grouping__ctx-welfare,welfare,3,0,0.21740665248099014
EmbeddingGemma-Scandi-300m__prompt-topic,rai,Unknown,4,0.279936583847036
Qwen3-Embedding-0.6B__prompt-similarity__ctx-rai,rai,Unknown,6,0.2678195155263907
multilingual-e5-large-instruct__prompt-grouping,welfare,3,0,0.4315814091332109
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,11,3,0.23659772855617547
multilingual-e5-large-instruct__prompt-similarity,welfare,1,6,0.4597426374218812
multilingual-e5-large-instruct__prompt-meaning__ctx-rai,rai,Unknown,8,0.39194575207892346
multilingual-e5-large-instruct__prompt-grouping__ctx-welfare,welfare,2,8,0.3818279034911798
Qwen3-Embedding-0.6B__prompt-similarity__ctx-rai,rai,Kvinde,3,0.16439464521167463
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-rai,rai,Unknown,8,0.3125151967553707
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-welfare,welfare,3,4,0.1927836669439967
multilingual-e5-large-instruct__prompt-grouping,rai,Kvinde,7,0.36213232164935377
Qwen3-Embedding-0.6B__prompt-meaning__ctx-welfare,welfare,2,4,0.330383047279765
multilingual-e5-large-instruct__prompt-topic,welfare,4,0,0.4791946429862225
multilingual-e5-large-instruct__prompt-topic,rai,Kvinde,6,0.36233131495408094
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-rai,rai,Unknown,2,0.2944797304198887
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,rai,Unknown,5,0.3080807050500773
Qwen3-Embedding-0.6B__prompt-cluster__ctx-welfare,welfare,1,9,0.32642632199622784
multilingual-e5-large-instruct__prompt-similarity,welfare,4,8,0.3601452169261956
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,3,9,0.17914302182073877
multilingual-e5-large-instruct__prompt-topic,welfare,1,5,0.5427076181299241
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-rai,rai,Unknown,4,0.29988970907866247
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-welfare,welfare,4,2,0.19042218981605852
Qwen3-Embedding-0.6B__prompt-similarity,welfare,2,0,0.27043456224062146
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-rai,rai,Unknown,8,0.25202536474912723
Qwen3-Embedding-0.6B__prompt-grouping__ctx-rai,rai,Mand,2,0.0969306891006943
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,11,3,0.2609795242012489
Qwen3-Embedding-0.6B__prompt-meaning__ctx-welfare,welfare,11,9,0.3315780915573777
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Mand,7,0.2258252797928776
multilingual-e5-large-instruct__prompt-similarity,rai,Mand,0,0.3529078192007464
multilingual-e5-large-instruct__prompt-grouping__ctx-welfare,welfare,2,4,0.3802206472915957
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,3,1,0.21618365231507267
multilingual-e5-large-instruct__prompt-similarity,rai,Kvinde,4,0.3550346989044142
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,3,6,0.3264791767698184
multilingual-e5-large-instruct__prompt-meaning,rai,Unknown,9,0.4064407787159181
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-rai,rai,Mand,3,0.23565856787431663
Qwen3-Embedding-Scandi-0.6B__prompt-topic,rai,Mand,6,0.21804903269891215
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,2,8,0.22514064227520916
multilingual-e5-large-instruct__prompt-meaning,rai,Mand,4,0.3211731382294856
multilingual-e5-large-instruct__prompt-cluster,welfare,2,5,0.46430710976372214
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-welfare,welfare,1,7,0.3368792335249052
EmbeddingGemma-Scandi-300m__prompt-grouping,rai,Kvinde,8,0.2179508998726133
multilingual-e5-large-instruct__prompt-meaning,welfare,11,2,0.40126301616547516
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-welfare,welfare,1,2,0.25071471478773827
Qwen3-Embedding-0.6B__prompt-meaning__ctx-welfare,welfare,1,7,0.3546838250526787
multilingual-e5-large-instruct__prompt-grouping__ctx-rai,rai,Kvinde,3,0.35175553479827537
