model,dataset,difficulty,statistic,auc_mean,ci_lo,ci_hi
multilingual-e5-large,rai,Easy ($r_i(t)$: top 20%),Mean,0.30907651665129054,0.285049318161446,0.329090201522435
model2vecdk-stem,welfare,Easy ($r_i(t)$: top 20%),Mean,0.3186413841901378,0.28914892476500165,0.34180510030232647
xlm-roberta-base,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,0.011408959783088406,-0.0013976914877565914,0.020931794108366854
multilingual-e5-base,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,0.01735175177199356,0.002631688940189114,0.03290561064937921
EmbeddingGemma-Scandi-300m,rai,Hard ($r_i(t)$: bottom 20%),Worst,-0.0010627782820619692,-0.028401359508385182,0.012681358177730362
human-mds-oracle,welfare,Hard ($r_i(t)$: bottom 20%),Best,0.11080740177047801,0.09966914120222595,0.1257832966038291
bge-m3,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,0.010348087492274522,-0.004676002150263555,0.021100727531460868
m2v-dfm-large,rai,Hard ($r_i(t)$: bottom 20%),Best,0.024793341200425322,0.014640703098741987,0.04814192405495679
LaBSE,gov-ai,Easy ($r_i(t)$: top 20%),Best,0.25209725099811814,0.21958835228654608,0.2822400595902411
potion-multilingual-128M,gov-ai,Hard ($r_i(t)$: bottom 20%),Worst,-0.000514082861857661,-0.011248947655128027,0.011349063146151726
multilingual-e5-large,gov-ai,Hard ($r_i(t)$: bottom 20%),Worst,0.009090521673322367,-0.006678405163505249,0.026739900898380117
multilingual-e5-base,welfare,Hard ($r_i(t)$: bottom 20%),Mean,0.012032682770352665,0.0035402125836989278,0.020754274971574976
bge-m3,welfare,Easy ($r_i(t)$: top 20%),Mean,0.43728313499486193,0.4087599083902871,0.4627306618834574
multilingual-e5-large-instruct,welfare,Hard ($r_i(t)$: bottom 20%),Mean,0.013677390126856046,0.0054140757767384,0.02180892118665677
Qwen3-Embedding-Scandi-0.6B,welfare,Hard ($r_i(t)$: bottom 20%),Mean,0.004976771059062671,-0.004447465491560896,0.013978600792158685
potion-multilingual-128M,welfare,Hard ($r_i(t)$: bottom 20%),Worst,0.003428695830637707,-0.008853117241207426,0.01592290976972177
Qwen3-Embedding-Scandi-0.6B,welfare,Hard ($r_i(t)$: bottom 20%),Best,0.02634235521661061,0.018138661913743283,0.036092901583376115
nb-sbert-base,rai,Easy ($r_i(t)$: top 20%),Mean,0.3558898023063201,0.33916326060415475,0.37271196942668516
paraphrase-multilingual-MiniLM-L12-v2,rai,Easy ($r_i(t)$: top 20%),Mean,0.34251128019907406,0.3221915216555786,0.3639783837211024
text-embedding-3-large,welfare,Easy ($r_i(t)$: top 20%),Mean,0.4717165436237806,0.4461715251480275,0.5030178188960296
potion-base-8M,welfare,Hard ($r_i(t)$: bottom 20%),Mean,0.025689362974780628,0.018635389447049382,0.03356203604823424
potion-multilingual-128M,gov-ai,Easy ($r_i(t)$: top 20%),Mean,0.2358506468282208,0.20017823365008094,0.2799786183132583
tfidf-char35,welfare,Hard ($r_i(t)$: bottom 20%),Worst,-0.003962251512151564,-0.02950399439870471,0.01933062773029485
multilingual-e5-base,welfare,Easy ($r_i(t)$: top 20%),Mean,0.3676274954796771,0.3443749939268468,0.39413679057350887
dfm-sentence-encoder-large,rai,Easy ($r_i(t)$: top 20%),Mean,0.28644038261508725,0.26792915170066456,0.30396844297767384
potion-base-8M,rai,Easy ($r_i(t)$: top 20%),Mean,0.12768891467197419,0.09150463663568477,0.1541048810074065
multilingual-e5-large,welfare,Hard ($r_i(t)$: bottom 20%),Worst,-0.001270334440514458,-0.01437466281165592,0.010755757905899062
tfidf-char35,welfare,Hard ($r_i(t)$: bottom 20%),Best,0.019999617398701097,0.001853591206719574,0.036400378212519735
M2V_base_glove,gov-ai,Easy ($r_i(t)$: top 20%),Mean,0.21150789202625014,0.1628101902698057,0.2603997112063809
model2vecdk,rai,Easy ($r_i(t)$: top 20%),Mean,0.29262458580527584,0.2681445210540176,0.3157098134966536
Human,welfare,Hard ($r_i(t)$: bottom 20%),Mean,0.40757808761060005,0.3142662265627091,0.4886883711736713
text-embedding-ada-002,gov-ai,Easy ($r_i(t)$: top 20%),Worst,0.3252071629119683,0.29598386619988565,0.35255735005303424
dfm-sentence-encoder-large,rai,Easy ($r_i(t)$: top 20%),Worst,0.2666677842334859,0.2457512690485205,0.28994240039090086
snowflake-arctic-embed-l-v2.0,rai,Easy ($r_i(t)$: top 20%),Mean,0.35617537834877405,0.3345573811336399,0.38066464292261404
Qwen3-Embedding-0.6B,welfare,Easy ($r_i(t)$: top 20%),Worst,0.1793125244919016,0.15636817920142349,0.20281273456226284
Human,rai,Easy ($r_i(t)$: top 20%),Best,0.9321112554112425,0.9106084124171868,0.9557725230690324
text-embedding-3-large,rai,Easy ($r_i(t)$: top 20%),Mean,0.3983000502740151,0.3785736942210715,0.41317506829689354
potion-base-2M,welfare,Hard ($r_i(t)$: bottom 20%),Mean,0.02656589758257641,0.017228974292961153,0.03480310485883914
human-mds-oracle,welfare,Hard ($r_i(t)$: bottom 20%),Worst,0.07247243710664454,0.052158384796132426,0.09366649524734647
Human,welfare,Easy ($r_i(t)$: top 20%),Mean,0.8394587896712092,0.7817732782366379,0.8906034311496924
potion-base-4M,welfare,Hard ($r_i(t)$: bottom 20%),Worst,0.009093075577974506,-0.005384754715134321,0.0207313240519045
Qwen3-Embedding-0.6B,rai,Easy ($r_i(t)$: top 20%),Mean,0.17167135720747775,0.14459167065419712,0.19449572304699253
model2vecdk,welfare,Hard ($r_i(t)$: bottom 20%),Worst,0.015478822771484924,0.0032909949293125074,0.025429168407797992
jaccard-binary,rai,Hard ($r_i(t)$: bottom 20%),Mean,-0.19660340715737068,-0.2068159047464338,-0.18506774081582553
multilingual-e5-base,rai,Easy ($r_i(t)$: top 20%),Worst,0.27826501716817104,0.262306288994551,0.29005802551391274
jaccard-binary,gov-ai,Easy ($r_i(t)$: top 20%),Worst,0.10616341751183449,0.08344530158417927,0.12885509471927303
potion-multilingual-128M,rai,Hard ($r_i(t)$: bottom 20%),Mean,0.025922522118185562,0.012133729090321408,0.041638528946396185
mxbai-embed-large-v1,welfare,Easy ($r_i(t)$: top 20%),Best,0.25358863056162506,0.2205537954252239,0.2877349133103298
snowflake-arctic-embed-l-v2.0,gov-ai,Hard ($r_i(t)$: bottom 20%),Worst,0.014765379323720556,-0.003859782790258931,0.026851540503054543
tfidf-char35,rai,Hard ($r_i(t)$: bottom 20%),Mean,0.009181424705384446,-0.005723005557471936,0.019860780898386728
M2V_base_glove_subword,welfare,Easy ($r_i(t)$: top 20%),Mean,0.2086889639485331,0.17001228739091012,0.25417365586147994
xlm-roberta-base,rai,Easy ($r_i(t)$: top 20%),Best,0.2132197369062823,0.1840964344121244,0.24922945701894758
M2V_base_glove_subword,rai,Hard ($r_i(t)$: bottom 20%),Worst,0.013200906878327425,0.0007007600900603651,0.02327899181701361
dfm-sentence-encoder-large,gov-ai,Easy ($r_i(t)$: top 20%),Mean,0.24320080057714974,0.21343641154322107,0.2746752756257509
M2V_base_glove,welfare,Easy ($r_i(t)$: top 20%),Worst,-0.03450511481165345,-0.055672510362437734,-0.0166414911600755
xlm-roberta-large,gov-ai,Hard ($r_i(t)$: bottom 20%),Mean,0.020639151929686593,0.002572513605011678,0.0352981522426576
xlm-roberta-large,gov-ai,Easy ($r_i(t)$: top 20%),Mean,0.1886353706822062,0.17107524452550427,0.20440390405000966
M2V_base_glove,welfare,Easy ($r_i(t)$: top 20%),Mean,0.001752632782023877,-0.012611856872706892,0.016678257187067527
text-embedding-3-small,welfare,Hard ($r_i(t)$: bottom 20%),Mean,0.03550070045973606,0.029736792814999847,0.04224896691135153
xlm-roberta-base,rai,Easy ($r_i(t)$: top 20%),Worst,0.1585782230049002,0.13928867423355898,0.177772900910858
potion-base-4M,rai,Hard ($r_i(t)$: bottom 20%),Best,0.035379896434474534,0.01717102968242749,0.060557998339688404
M2V_base_glove,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,0.004927017859110603,-0.00296393420675764,0.015613146860805498
potion-base-4M,welfare,Easy ($r_i(t)$: top 20%),Worst,0.16001902901587506,0.08292277662675025,0.21905096379845446
model2vecdk-stem,rai,Hard ($r_i(t)$: bottom 20%),Mean,0.026645084746198613,0.008341548699503034,0.04327260217009382
paraphrase-multilingual-mpnet-base-v2,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,0.022030106411775913,0.007950553342742523,0.03749235162926437
multilingual-e5-base,rai,Easy ($r_i(t)$: top 20%),Best,0.3404830108328962,0.30910141399892577,0.36764128563347376
nb-sbert-base,gov-ai,Hard ($r_i(t)$: bottom 20%),Best,0.01579365677959272,0.005894415663228852,0.02536523601508092
jaccard-binary,rai,Hard ($r_i(t)$: bottom 20%),Worst,-0.22753156179370954,-0.2372679167478104,-0.20686791603880203
multilingual-e5-large,gov-ai,Easy ($r_i(t)$: top 20%),Best,0.23722097161860942,0.2135514701870969,0.2623889138911347
LaBSE,rai,Easy ($r_i(t)$: top 20%),Worst,0.29090359721284736,0.2687292215131425,0.309795147214401
static-similarity-mrl-multilingual-v1,gov-ai,Easy ($r_i(t)$: top 20%),Worst,0.21369267668358488,0.18350524427749743,0.24918238804681042
m2v-dfm-large,rai,Easy ($r_i(t)$: top 20%),Best,0.33872146595160585,0.3063450784364032,0.3827426258925999
M2V_base_glove,gov-ai,Hard ($r_i(t)$: bottom 20%),Mean,0.004927017859110603,-0.00296393420675764,0.015613146860805498
multilingual-e5-base,rai,Easy ($r_i(t)$: top 20%),Mean,0.3055757361145228,0.2903429093768832,0.3188350624631518
M2V_base_output,rai,Easy ($r_i(t)$: top 20%),Best,0.1488026899206071,0.11684217929843259,0.1719711858203216
nb-sbert-base,gov-ai,Easy ($r_i(t)$: top 20%),Worst,0.31298326770098067,0.2769653062202382,0.3531746159036463
M2V_base_output,rai,Easy ($r_i(t)$: top 20%),Mean,0.12200651324578651,0.08801076088569387,0.15613035553377325
potion-multilingual-128M,gov-ai,Hard ($r_i(t)$: bottom 20%),Mean,-0.000514082861857661,-0.011248947655128027,0.011349063146151726
