model,dataset,demographics,iteration,auc,metric
text-embedding-3-large,rai,Unknown,9,0.45647424589106084,binary_auc
text-embedding-3-large,welfare,1,3,0.5422347450426798,binary_auc
dfm-sentence-encoder-large,welfare,11,7,0.35645455632950235,binary_auc
potion-base-8M,welfare,11,7,0.25042294412866506,binary_auc
paraphrase-multilingual-mpnet-base-v2,welfare,4,8,0.5525414188859075,binary_auc
potion-base-2M,rai,Kvinde,4,0.1234051243892126,binary_auc
M2V_base_glove_subword,welfare,11,1,0.23869953413574327,binary_auc
snowflake-arctic-embed-l-v2.0,welfare,2,0,0.5110247041309331,binary_auc
mmBERTscandi-base-embedding,rai,Kvinde,6,0.3052223060131158,binary_auc
static-similarity-mrl-multilingual-v1,welfare,3,9,0.3449627207508619,binary_auc
potion-base-2M,welfare,2,3,0.16436558867875561,binary_auc
potion-base-2M,welfare,3,0,0.18837022572739173,binary_auc
model2vecdk-stem,rai,Unknown,9,0.3331493113943016,binary_auc
xlm-roberta-large,rai,Kvinde,0,0.1404464695871203,binary_auc
xlm-roberta-base,rai,Mand,7,0.16736209447025588,binary_auc
multilingual-e5-large-instruct,rai,Mand,9,0.4079849241811396,binary_auc
nb-sbert-base,welfare,1,5,0.5379341101942967,binary_auc
Qwen3-Embedding-0.6B,welfare,11,2,0.3025937550045969,binary_auc
text-embedding-ada-002,welfare,2,4,0.45376215705432155,binary_auc
xlm-roberta-base,rai,Mand,1,0.1658847892275378,binary_auc
M2V_base_glove,rai,Mand,1,0.08464373530962922,binary_auc
snowflake-arctic-embed-l-v2.0,welfare,4,2,0.4819481196167495,binary_auc
mxbai-embed-large-v1,welfare,11,0,0.24349312525545708,binary_auc
snowflake-arctic-embed-l-v2.0,welfare,4,6,0.47691826543190136,binary_auc
nb-sbert-base,welfare,1,2,0.535739540678479,binary_auc
model2vecdk-stem,rai,Kvinde,3,0.30814715947489524,binary_auc
model2vecdk,rai,Kvinde,8,0.313157877332686,binary_auc
multilingual-e5-large,rai,Kvinde,9,0.32888854971285636,binary_auc
M2V_base_output,rai,Mand,7,0.1590667487498524,binary_auc
paraphrase-multilingual-mpnet-base-v2,rai,Unknown,9,0.42395276597878345,binary_auc
mxbai-embed-large-v1,welfare,4,4,0.19700568997373658,binary_auc
M2V_base_glove,welfare,1,8,-0.006704541113783477,binary_auc
model2vecdk-stem,welfare,3,2,0.3453896169008269,binary_auc
EmbeddingGemma-Scandi-300m,rai,Mand,5,0.3575132432166519,binary_auc
potion-base-2M,welfare,3,9,0.19024614199391143,binary_auc
multilingual-e5-large-instruct,rai,Mand,1,0.4103390952428087,binary_auc
m2v-dfm-large,welfare,4,8,0.3657259127513328,binary_auc
Qwen3-Embedding-0.6B,rai,Mand,0,0.16013326485091894,binary_auc
M2V_base_glove_subword,rai,Mand,0,0.16400651372699313,binary_auc
Qwen3-Embedding-0.6B,welfare,3,8,0.26572075528900685,binary_auc
xlm-roberta-large,welfare,2,4,0.07766995839169999,binary_auc
multilingual-e5-small,rai,Mand,6,0.31480526331671377,binary_auc
mxbai-embed-large-v1,rai,Unknown,4,0.24924885305715802,binary_auc
M2V_base_output,welfare,2,3,0.1676816416684694,binary_auc
static-similarity-mrl-multilingual-v1,rai,Unknown,0,0.2922374441002301,binary_auc
model2vecdk,rai,Unknown,3,0.32059356337876505,binary_auc
text-embedding-3-small,rai,Unknown,2,0.3607866240957106,binary_auc
EmbeddingGemma-Scandi-300m,rai,Kvinde,5,0.3655203013942972,binary_auc
potion-multilingual-128M,welfare,3,5,0.4147852094241744,binary_auc
static-similarity-mrl-multilingual-v1,welfare,3,4,0.34627137714114,binary_auc
model2vecdk-stem,welfare,2,6,0.2892104977945325,binary_auc
M2V_base_glove_subword,rai,Unknown,1,0.13947266021065416,binary_auc
mxbai-embed-large-v1,welfare,4,0,0.1991068323280494,binary_auc
potion-multilingual-128M,welfare,3,7,0.41047686387082616,binary_auc
potion-multilingual-128M,welfare,1,8,0.4656208562426894,binary_auc
m2v-dfm-large,welfare,2,8,0.3494052738132837,binary_auc
xlm-roberta-base,rai,Mand,8,0.162931552599823,binary_auc
bge-m3,welfare,1,0,0.5067056784329071,binary_auc
multilingual-e5-base,rai,Kvinde,6,0.31153430088619527,binary_auc
mxbai-embed-large-v1,rai,Unknown,9,0.24507880136948693,binary_auc
mmBERTscandi-base-embedding,rai,Mand,6,0.3064261914784791,binary_auc
Qwen3-Embedding-Scandi-0.6B,rai,Mand,2,0.30525855257144013,binary_auc
bge-m3,rai,Unknown,1,0.38190267347028023,binary_auc
potion-base-4M,welfare,4,7,0.2696864450990615,binary_auc
text-embedding-ada-002,welfare,11,4,0.4765567776586114,binary_auc
multilingual-e5-large-instruct,welfare,3,1,0.5334891272143347,binary_auc
potion-base-2M,rai,Mand,5,0.15122963093930605,binary_auc
bge-m3,welfare,3,1,0.4490484072262168,binary_auc
multilingual-e5-large,rai,Mand,6,0.32740566504494284,binary_auc
Qwen3-Embedding-Scandi-0.6B,welfare,4,2,0.3174390795498034,binary_auc
text-embedding-3-large,welfare,2,8,0.4884602314822132,binary_auc
potion-base-8M,rai,Mand,9,0.16592339139749018,binary_auc
xlm-roberta-base,rai,Kvinde,3,0.16986035095315152,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,welfare,2,5,0.5078150512825663,binary_auc
text-embedding-ada-002,rai,Unknown,8,0.43737231192822645,binary_auc
xlm-roberta-large,welfare,3,5,0.17643103675868613,binary_auc
m2v-dfm-large,welfare,2,0,0.35296158818009515,binary_auc
potion-multilingual-128M,rai,Mand,6,0.29108410817451064,binary_auc
snowflake-arctic-embed-l-v2.0,welfare,3,0,0.4679117813365755,binary_auc
potion-base-8M,rai,Kvinde,0,0.13908966858054395,binary_auc
potion-base-2M,welfare,1,1,0.18415657016955686,binary_auc
mxbai-embed-large-v1,welfare,3,8,0.20552631665430032,binary_auc
multilingual-e5-base,welfare,1,2,0.42618585557434874,binary_auc
xlm-roberta-base,welfare,1,1,0.09644752163722553,binary_auc
M2V_base_glove,rai,Unknown,5,0.025456915449575915,binary_auc
bge-m3,welfare,2,7,0.4833447889467131,binary_auc
xlm-roberta-large,welfare,2,8,0.07314093640989384,binary_auc
model2vecdk-stem,welfare,1,1,0.36540229780721883,binary_auc
nb-sbert-base,rai,Unknown,1,0.39682796328650666,binary_auc
model2vecdk,welfare,1,3,0.42503661891451405,binary_auc
multilingual-e5-small,rai,Kvinde,1,0.2959444654964922,binary_auc
xlm-roberta-base,welfare,1,2,0.09929524638959944,binary_auc
text-embedding-ada-002,welfare,4,6,0.43939130080101324,binary_auc
Qwen3-Embedding-0.6B,rai,Kvinde,4,0.1767124008085209,binary_auc
potion-multilingual-128M,welfare,1,2,0.4666410580158313,binary_auc
text-embedding-3-large,welfare,1,2,0.5427632082549264,binary_auc
mmBERTscandi-base-embedding,rai,Mand,2,0.3045582945921258,binary_auc
model2vecdk,welfare,11,9,0.42138630494749396,binary_auc
multilingual-e5-small,rai,Unknown,3,0.3099187859101923,binary_auc
dfm-sentence-encoder-large,rai,Unknown,3,0.33164170808926885,binary_auc
text-embedding-3-large,rai,Unknown,3,0.45284693938989434,binary_auc
M2V_base_glove_subword,welfare,4,7,0.26435124334423515,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,welfare,3,8,0.5234624653938414,binary_auc
multilingual-e5-small,welfare,1,1,0.42401893649795563,binary_auc
potion-base-2M,welfare,3,5,0.18745289632542317,binary_auc
potion-multilingual-128M,rai,Kvinde,5,0.2727059826462729,binary_auc
xlm-roberta-large,rai,Kvinde,9,0.1418886211192926,binary_auc
xlm-roberta-large,rai,Mand,4,0.13762285668786398,binary_auc
Qwen3-Embedding-0.6B,welfare,2,6,0.3078135688636978,binary_auc
dfm-sentence-encoder-large,rai,Kvinde,6,0.27710507071719287,binary_auc
dfm-sentence-encoder-large,rai,Mand,7,0.29932442143444704,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,rai,Mand,2,0.3443136252242441,binary_auc
LaBSE,welfare,11,7,0.45067706309747596,binary_auc
multilingual-e5-large,welfare,1,5,0.45178976976512397,binary_auc
potion-multilingual-128M,welfare,3,2,0.4197156623004835,binary_auc
text-embedding-ada-002,welfare,2,6,0.4555718813045162,binary_auc
potion-multilingual-128M,welfare,3,9,0.41652658061249037,binary_auc
xlm-roberta-large,welfare,4,4,0.18521147585093542,binary_auc
potion-base-8M,rai,Unknown,6,0.10098983893692148,binary_auc
EmbeddingGemma-Scandi-300m,welfare,4,1,0.5097349377014363,binary_auc
m2v-dfm-large,welfare,4,2,0.37426769799299814,binary_auc
text-embedding-3-large,rai,Unknown,5,0.46926544698955885,binary_auc
multilingual-e5-small,welfare,2,2,0.3472532640929839,binary_auc
paraphrase-multilingual-mpnet-base-v2,welfare,2,4,0.5273729519665821,binary_auc
dfm-sentence-encoder-large,rai,Mand,3,0.3038149057816246,binary_auc
bge-m3,welfare,1,4,0.5109668003609138,binary_auc
M2V_base_glove_subword,welfare,1,1,0.21687976082193725,binary_auc
mmBERTscandi-base-embedding,welfare,4,4,0.39996254603288256,binary_auc
multilingual-e5-large-instruct,welfare,3,7,0.5417688522082352,binary_auc
potion-base-4M,rai,Kvinde,2,0.1312847341166008,binary_auc
Qwen3-Embedding-Scandi-0.6B,welfare,3,2,0.3030710824037056,binary_auc
m2v-dfm-large,rai,Kvinde,1,0.32972081839384326,binary_auc
multilingual-e5-small,welfare,4,1,0.3628665282794766,binary_auc
paraphrase-multilingual-mpnet-base-v2,welfare,3,5,0.5503285945499687,binary_auc
text-embedding-ada-002,rai,Kvinde,7,0.3669881833961808,binary_auc
multilingual-e5-large,rai,Kvinde,2,0.33151530078978,binary_auc
text-embedding-3-large,welfare,3,5,0.5052917714883587,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,welfare,1,8,0.5756971296327461,binary_auc
text-embedding-3-large,rai,Mand,3,0.40771534956881816,binary_auc
mmBERTscandi-base-embedding,welfare,1,8,0.4336353645497395,binary_auc
static-similarity-mrl-multilingual-v1,welfare,2,6,0.31563638699931124,binary_auc
LaBSE,rai,Mand,8,0.31507225588710586,binary_auc
M2V_base_output,welfare,4,8,0.25596962287060765,binary_auc
LaBSE,welfare,1,6,0.4972621994871736,binary_auc
M2V_base_glove,welfare,11,2,0.04358402665439573,binary_auc
paraphrase-multilingual-mpnet-base-v2,welfare,1,1,0.5949093658794179,binary_auc
potion-base-8M,rai,Unknown,8,0.10583544848625602,binary_auc
m2v-dfm-large,rai,Mand,7,0.34085961441880125,binary_auc
model2vecdk,welfare,11,0,0.4197565133278695,binary_auc
multilingual-e5-large-instruct,welfare,2,5,0.540124188628158,binary_auc
text-embedding-ada-002,rai,Kvinde,5,0.36894800294087643,binary_auc
snowflake-arctic-embed-l-v2.0,welfare,3,3,0.47418615127730024,binary_auc
multilingual-e5-small,welfare,11,3,0.38045243569689047,binary_auc
multilingual-e5-small,welfare,11,8,0.3860243072897857,binary_auc
multilingual-e5-small,welfare,2,6,0.3442543693336623,binary_auc
mmBERTscandi-base-embedding,welfare,3,9,0.36426650651699943,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,rai,Kvinde,5,0.3602689546062661,binary_auc
paraphrase-multilingual-mpnet-base-v2,welfare,1,0,0.5981516930841821,binary_auc
text-embedding-3-large,rai,Kvinde,4,0.4127613750774914,binary_auc
bge-m3,welfare,11,6,0.4636724153102955,binary_auc
multilingual-e5-large-instruct,welfare,4,4,0.49754814369850037,binary_auc
LaBSE,welfare,11,9,0.45680178237347724,binary_auc
xlm-roberta-large,welfare,2,6,0.08501213072451184,binary_auc
text-embedding-3-small,rai,Unknown,3,0.3735116556635944,binary_auc
Qwen3-Embedding-Scandi-0.6B,welfare,4,4,0.3168901129493582,binary_auc
snowflake-arctic-embed-l-v2.0,welfare,3,9,0.47125626132863735,binary_auc
multilingual-e5-large,rai,Kvinde,4,0.33369381589093466,binary_auc
nb-sbert-base,welfare,11,9,0.4994021392456394,binary_auc
text-embedding-ada-002,rai,Mand,8,0.3499755568309733,binary_auc
paraphrase-multilingual-mpnet-base-v2,welfare,1,8,0.5994651495136959,binary_auc
snowflake-arctic-embed-l-v2.0,welfare,1,6,0.5359341415682763,binary_auc
bge-m3,welfare,11,4,0.45905168434718946,binary_auc
nb-sbert-base,welfare,3,1,0.4940600197111938,binary_auc
M2V_base_output,welfare,1,4,0.2137468649378467,binary_auc
M2V_base_glove,welfare,2,8,-0.02761855519590434,binary_auc
dfm-sentence-encoder-large,welfare,4,6,0.3778991291245242,binary_auc
LaBSE,welfare,1,8,0.5014757928302879,binary_auc
text-embedding-3-large,rai,Kvinde,0,0.4130416018640916,binary_auc
multilingual-e5-large,welfare,4,9,0.42587553301072406,binary_auc
M2V_base_output,welfare,2,5,0.16621931456875988,binary_auc
static-similarity-mrl-multilingual-v1,welfare,4,5,0.28437988134254505,binary_auc
m2v-dfm-large,welfare,1,6,0.4368866441685108,binary_auc
potion-base-2M,rai,Mand,3,0.15175747702335657,binary_auc
potion-base-2M,welfare,3,1,0.18785835568569273,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,rai,Unknown,0,0.35354172663548195,binary_auc
model2vecdk-stem,welfare,3,1,0.3471890438202911,binary_auc
potion-base-2M,welfare,4,5,0.20887214683081573,binary_auc
text-embedding-ada-002,welfare,3,8,0.4619918251924107,binary_auc
bge-m3,welfare,11,5,0.4610902754005439,binary_auc
LaBSE,welfare,4,3,0.4076821444630781,binary_auc
multilingual-e5-small,welfare,3,2,0.36347209865482466,binary_auc
static-similarity-mrl-multilingual-v1,welfare,2,1,0.3157661984120987,binary_auc
M2V_base_glove_subword,rai,Mand,6,0.16395230801892988,binary_auc
static-similarity-mrl-multilingual-v1,welfare,1,8,0.37351802142527346,binary_auc
static-similarity-mrl-multilingual-v1,welfare,4,6,0.2886976063581548,binary_auc
Qwen3-Embedding-Scandi-0.6B,welfare,3,9,0.3085970160319638,binary_auc
multilingual-e5-large-instruct,rai,Kvinde,5,0.43678566003157254,binary_auc
M2V_base_output,welfare,3,4,0.21015789299679952,binary_auc
potion-multilingual-128M,rai,Unknown,4,0.27280763162880267,binary_auc
multilingual-e5-base,rai,Unknown,3,0.3797125641328481,binary_auc
xlm-roberta-base,rai,Kvinde,7,0.17277470125912667,binary_auc
multilingual-e5-large,welfare,1,0,0.448053141555572,binary_auc
mxbai-embed-large-v1,welfare,11,8,0.23818631997212084,binary_auc
M2V_base_output,rai,Mand,4,0.15705026332207986,binary_auc
mmBERTscandi-base-embedding,welfare,2,5,0.3567374914736425,binary_auc
nb-sbert-base,welfare,11,7,0.4942189754002458,binary_auc
xlm-roberta-large,rai,Mand,9,0.137745748991472,binary_auc
LaBSE,welfare,11,8,0.4537464255445531,binary_auc
m2v-dfm-large,rai,Kvinde,3,0.327362885933719,binary_auc
mmBERTscandi-base-embedding,welfare,2,1,0.353784022818988,binary_auc
Qwen3-Embedding-Scandi-0.6B,welfare,2,2,0.2973971301138017,binary_auc
bge-m3,rai,Kvinde,7,0.3588933459979868,binary_auc
text-embedding-ada-002,rai,Mand,5,0.3512918895169476,binary_auc
mxbai-embed-large-v1,welfare,2,9,0.19034700943544694,binary_auc
EmbeddingGemma-Scandi-300m,welfare,4,7,0.5120755590327286,binary_auc
M2V_base_glove,rai,Unknown,8,0.035657553371556364,binary_auc
dfm-sentence-encoder-large,welfare,11,5,0.346574428747196,binary_auc
M2V_base_glove,rai,Mand,6,0.08698112326774574,binary_auc
LaBSE,welfare,2,1,0.43826237647084826,binary_auc
m2v-dfm-large,welfare,2,1,0.3520931583884798,binary_auc
model2vecdk,welfare,2,8,0.33867744402460326,binary_auc
xlm-roberta-large,welfare,11,9,0.1429082005143063,binary_auc
multilingual-e5-large-instruct,welfare,1,7,0.5715953671631958,binary_auc
model2vecdk,rai,Unknown,0,0.32714080390585526,binary_auc
M2V_base_glove,rai,Kvinde,0,0.030792088133664644,binary_auc
potion-base-8M,welfare,1,5,0.23533998592482952,binary_auc
multilingual-e5-large,welfare,11,5,0.41899623144209924,binary_auc
text-embedding-ada-002,welfare,11,6,0.4661453394591396,binary_auc
text-embedding-3-large,rai,Kvinde,2,0.4126901093988856,binary_auc
model2vecdk,welfare,2,3,0.3474500886093425,binary_auc
text-embedding-3-large,welfare,11,7,0.49795523630521193,binary_auc
mmBERTscandi-base-embedding,welfare,11,3,0.3907200302551177,binary_auc
multilingual-e5-large-instruct,welfare,2,7,0.5374147893156145,binary_auc
Qwen3-Embedding-0.6B,welfare,3,3,0.2656421783440354,binary_auc
m2v-dfm-large,welfare,1,3,0.4369494102615818,binary_auc
multilingual-e5-small,welfare,1,7,0.43267370978197445,binary_auc
static-similarity-mrl-multilingual-v1,welfare,4,2,0.28989917524655484,binary_auc
M2V_base_glove_subword,welfare,11,0,0.24070366609083155,binary_auc
multilingual-e5-small,rai,Kvinde,0,0.29380475229904973,binary_auc
model2vecdk,welfare,2,5,0.3473467545855429,binary_auc
text-embedding-3-small,welfare,3,0,0.4909593109206512,binary_auc
bge-m3,rai,Mand,7,0.33344533280871874,binary_auc
M2V_base_output,welfare,11,9,0.23671352139945412,binary_auc
dfm-sentence-encoder-large,welfare,4,9,0.3812452158655338,binary_auc
text-embedding-ada-002,rai,Unknown,3,0.4200112377506716,binary_auc
potion-base-4M,rai,Unknown,8,0.12402946354051304,binary_auc
Qwen3-Embedding-0.6B,welfare,3,5,0.26338183275465393,binary_auc
xlm-roberta-large,welfare,4,8,0.19325500486882688,binary_auc
mxbai-embed-large-v1,rai,Unknown,3,0.23615033726725063,binary_auc
potion-base-8M,rai,Unknown,7,0.10709155856176186,binary_auc
potion-base-2M,rai,Unknown,8,0.13739785936514048,binary_auc
xlm-roberta-base,welfare,4,5,0.11568221534529453,binary_auc
mmBERTscandi-base-embedding,rai,Mand,0,0.3080888236796652,binary_auc
multilingual-e5-large-instruct,welfare,11,4,0.5044381021240548,binary_auc
model2vecdk,rai,Kvinde,1,0.3093839958484563,binary_auc
bge-m3,welfare,1,9,0.5116809829947218,binary_auc
xlm-roberta-base,welfare,1,7,0.09922404806689693,binary_auc
multilingual-e5-large,rai,Kvinde,6,0.3344765205699479,binary_auc
xlm-roberta-large,welfare,3,8,0.17888628917926927,binary_auc
static-similarity-mrl-multilingual-v1,rai,Mand,8,0.2580996714297727,binary_auc
Qwen3-Embedding-Scandi-0.6B,welfare,1,4,0.36907199372198196,binary_auc
multilingual-e5-large-instruct,welfare,3,2,0.5373988992123716,binary_auc
Qwen3-Embedding-0.6B,rai,Kvinde,3,0.17609280160742144,binary_auc
text-embedding-ada-002,rai,Kvinde,4,0.3671144531553105,binary_auc
multilingual-e5-small,rai,Mand,3,0.31505856929065046,binary_auc
text-embedding-3-large,rai,Kvinde,3,0.4091727005511036,binary_auc
text-embedding-3-small,rai,Unknown,6,0.36458353138034466,binary_auc
multilingual-e5-small,welfare,3,0,0.3645544249393025,binary_auc
paraphrase-multilingual-mpnet-base-v2,rai,Kvinde,4,0.4239149714648718,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,rai,Kvinde,3,0.3611263585449169,binary_auc
Qwen3-Embedding-Scandi-0.6B,welfare,1,3,0.3726525718400028,binary_auc
text-embedding-3-small,welfare,1,3,0.5050644537280389,binary_auc
paraphrase-multilingual-mpnet-base-v2,rai,Unknown,2,0.4404975853126889,binary_auc
text-embedding-3-small,welfare,1,1,0.5014045877973017,binary_auc
potion-base-8M,welfare,11,9,0.2455923887176816,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,welfare,2,9,0.5137321256662378,binary_auc
xlm-roberta-base,rai,Mand,0,0.16338655111102907,binary_auc
text-embedding-ada-002,welfare,1,3,0.5454636843547875,binary_auc
multilingual-e5-base,rai,Mand,8,0.31211282303248133,binary_auc
multilingual-e5-base,welfare,2,3,0.39027955969086214,binary_auc
potion-base-2M,welfare,2,7,0.15869420900524422,binary_auc
snowflake-arctic-embed-l-v2.0,welfare,3,5,0.4727311228296214,binary_auc
text-embedding-ada-002,welfare,2,1,0.45354019185314337,binary_auc
multilingual-e5-large,rai,Unknown,7,0.3870207397887375,binary_auc
EmbeddingGemma-Scandi-300m,welfare,2,6,0.47116073288519567,binary_auc
potion-base-4M,welfare,1,2,0.22256111118892488,binary_auc
text-embedding-ada-002,welfare,3,4,0.4674707821046455,binary_auc
multilingual-e5-large-instruct,welfare,2,3,0.5330732937470686,binary_auc
Qwen3-Embedding-Scandi-0.6B,welfare,2,3,0.3081937177220287,binary_auc
Qwen3-Embedding-0.6B,welfare,11,7,0.3014318698330473,binary_auc
Qwen3-Embedding-Scandi-0.6B,rai,Mand,8,0.30396149859393423,binary_auc
M2V_base_glove,welfare,2,3,-0.03712536744196281,binary_auc
dfm-sentence-encoder-large,welfare,4,0,0.3850052764331624,binary_auc
bge-m3,rai,Mand,3,0.3346549859581155,binary_auc
Qwen3-Embedding-0.6B,welfare,11,1,0.29877930423433957,binary_auc
multilingual-e5-large-instruct,welfare,4,2,0.4967908230347341,binary_auc
m2v-dfm-large,welfare,3,6,0.4268130342162536,binary_auc
LaBSE,welfare,3,1,0.47102877101295637,binary_auc
multilingual-e5-large,rai,Kvinde,1,0.3333479928610042,binary_auc
nb-sbert-base,rai,Mand,4,0.37908482807563215,binary_auc
multilingual-e5-small,welfare,11,1,0.38429177380141694,binary_auc
M2V_base_glove,welfare,1,0,-0.009343707147058851,binary_auc
potion-base-4M,welfare,1,9,0.22542385662921377,binary_auc
paraphrase-multilingual-mpnet-base-v2,rai,Unknown,0,0.4449073501192053,binary_auc
paraphrase-multilingual-MiniLM-L12-v2,rai,Kvinde,4,0.36187928700057514,binary_auc
static-similarity-mrl-multilingual-v1,rai,Mand,3,0.2577377975710322,binary_auc
multilingual-e5-base,rai,Kvinde,8,0.30631345574473445,binary_auc
multilingual-e5-large,welfare,11,2,0.4141647809033362,binary_auc
text-embedding-ada-002,welfare,1,9,0.545104182561197,binary_auc
potion-base-4M,rai,Mand,5,0.1635900919750645,binary_auc
text-embedding-3-small,welfare,11,4,0.4709701221974878,binary_auc
potion-base-4M,welfare,11,5,0.23953602385224143,binary_auc
potion-base-4M,welfare,1,7,0.22516402600856666,binary_auc
paraphrase-multilingual-mpnet-base-v2,welfare,3,2,0.5478371964671923,binary_auc
snowflake-arctic-embed-l-v2.0,welfare,2,7,0.5153869872815146,binary_auc
text-embedding-3-small,rai,Unknown,5,0.3618399480201271,binary_auc
text-embedding-3-large,welfare,3,8,0.5058486840060609,binary_auc
multilingual-e5-large-instruct,rai,Unknown,1,0.47538904697211354,binary_auc
multilingual-e5-small,welfare,3,1,0.3691335142304295,binary_auc
multilingual-e5-base,welfare,4,2,0.37088232537718996,binary_auc
text-embedding-3-small,rai,Kvinde,2,0.3471518084699351,binary_auc
multilingual-e5-base,welfare,2,4,0.39056841207753573,binary_auc
mmBERTscandi-base-embedding,welfare,11,6,0.3889630144708759,binary_auc
m2v-dfm-large,rai,Kvinde,0,0.32948462000093737,binary_auc
model2vecdk-stem,rai,Unknown,0,0.32210723630519283,binary_auc
potion-base-8M,welfare,2,4,0.17367058085920398,binary_auc
multilingual-e5-small,rai,Unknown,2,0.31780076919829153,binary_auc
potion-base-2M,rai,Kvinde,3,0.12210918056003912,binary_auc
mxbai-embed-large-v1,rai,Kvinde,5,0.18772330981140445,binary_auc
snowflake-arctic-embed-l-v2.0,welfare,1,4,0.5341546044237045,binary_auc
