model,dataset,demographics,iteration,auc
EmbeddingGemma-Scandi-300m,rai,Kvinde,5,0.34663904914273636
potion-base-2M,welfare,3,3,0.17967318068631738
M2V_base_output,welfare,2,8,0.15809678591573148
potion-base-2M,welfare,3,1,0.1809405940362635
text-embedding-3-large,welfare,11,3,0.47649156258555064
paraphrase-multilingual-MiniLM-L12-v2,rai,Unknown,5,0.3537071594652296
model2vecdk,rai,Unknown,6,0.2998653457084155
dfm-sentence-encoder-large,rai,Mand,0,0.28360756410232085
multilingual-e5-large,rai,Kvinde,3,0.3114015126990255
LaBSE,rai,Kvinde,6,0.2906667784830918
paraphrase-multilingual-mpnet-base-v2,rai,Unknown,8,0.432838403037813
potion-base-2M,welfare,2,6,0.15155433402385032
text-embedding-3-small,welfare,3,5,0.4557776773019349
static-similarity-mrl-multilingual-v1,rai,Mand,6,0.24094877159706424
nb-sbert-base,rai,Unknown,1,0.3808656603676006
Qwen3-Embedding-0.6B,welfare,4,6,0.19371415036203007
nb-sbert-base,rai,Unknown,6,0.393054340336294
paraphrase-multilingual-mpnet-base-v2,rai,Kvinde,2,0.404923175326241
nb-sbert-base,welfare,4,7,0.4713744188411928
text-embedding-ada-002,rai,Unknown,9,0.4048867693819402
dfm-sentence-encoder-large,welfare,2,6,0.3037731910233565
static-similarity-mrl-multilingual-v1,welfare,4,4,0.2673446468209205
multilingual-e5-base,rai,Unknown,3,0.3580549053044611
potion-base-2M,rai,Kvinde,5,0.11232911366696263
M2V_base_glove,welfare,2,4,-0.030860489671980487
model2vecdk-stem,welfare,11,0,0.39371003484883266
model2vecdk,welfare,11,3,0.4017598659792163
paraphrase-multilingual-MiniLM-L12-v2,rai,Mand,5,0.3268671900828827
text-embedding-3-large,rai,Mand,5,0.38926643510348957
snowflake-arctic-embed-l-v2.0,welfare,11,6,0.46637403351895634
potion-base-8M,welfare,4,2,0.26164138866093906
xlm-roberta-large,welfare,4,4,0.17807724231347938
snowflake-arctic-embed-l-v2.0,welfare,4,2,0.4571535290628677
static-similarity-mrl-multilingual-v1,welfare,1,3,0.36461338672712956
Qwen3-Embedding-Scandi-0.6B,rai,Unknown,0,0.39268603016508086
model2vecdk,rai,Kvinde,2,0.29430615187535863
Qwen3-Embedding-0.6B,rai,Unknown,8,0.22265434007971743
M2V_base_output,rai,Unknown,0,0.11914544642011875
LaBSE,welfare,4,3,0.39386793370763407
multilingual-e5-small,rai,Kvinde,8,0.28048552521122266
potion-base-8M,welfare,3,9,0.20969131579703967
potion-base-4M,welfare,11,8,0.22542073689873138
Qwen3-Embedding-Scandi-0.6B,welfare,3,2,0.2883734750779008
multilingual-e5-base,welfare,11,1,0.3583759519743056
Qwen3-Embedding-0.6B,welfare,1,7,0.33156958562710015
model2vecdk,welfare,11,9,0.40902133693262605
Qwen3-Embedding-0.6B,welfare,3,0,0.24397094712142173
static-similarity-mrl-multilingual-v1,welfare,11,6,0.331100543696452
potion-multilingual-128M,welfare,3,5,0.3913051268448809
potion-base-2M,welfare,1,1,0.17420442857773663
Qwen3-Embedding-Scandi-0.6B,rai,Mand,2,0.2812503376676973
dfm-sentence-encoder-large,welfare,11,9,0.33157668388388656
potion-multilingual-128M,welfare,1,0,0.441461533268571
multilingual-e5-large,rai,Unknown,7,0.3524831994250246
xlm-roberta-large,rai,Unknown,8,0.15038113870782013
dfm-sentence-encoder-large,welfare,11,7,0.3314065950021414
bge-m3,rai,Kvinde,8,0.3383525055134097
M2V_base_output,welfare,11,6,0.22620587143306106
M2V_base_output,welfare,2,5,0.15314412528784288
multilingual-e5-base,rai,Mand,4,0.2876790073609163
M2V_base_output,rai,Mand,0,0.14606141607632928
xlm-roberta-large,welfare,4,3,0.18136048610695832
bge-m3,welfare,11,7,0.43584243639116166
dfm-sentence-encoder-large,rai,Unknown,2,0.3258755825775563
model2vecdk-stem,welfare,2,9,0.27660601085870684
mmBERTscandi-base-embedding,rai,Mand,1,0.28886985006648863
text-embedding-ada-002,rai,Mand,8,0.3275490702844975
M2V_base_glove_subword,rai,Kvinde,6,0.12290854478173287
potion-base-2M,welfare,3,8,0.17801209269007431
multilingual-e5-base,welfare,4,1,0.3460064883847824
bge-m3,welfare,3,7,0.43020497031614585
text-embedding-3-small,welfare,11,3,0.4547668539997016
multilingual-e5-large,welfare,2,3,0.39360135648008315
potion-multilingual-128M,rai,Kvinde,4,0.25196818974150353
nb-sbert-base,rai,Kvinde,9,0.3542637208099691
potion-base-8M,rai,Kvinde,6,0.12647738168886138
model2vecdk,rai,Unknown,4,0.31926046677413517
potion-multilingual-128M,welfare,3,2,0.38932113409733127
text-embedding-ada-002,rai,Mand,1,0.3253026810636219
m2v-dfm-large,rai,Unknown,8,0.35706343643466687
text-embedding-3-small,welfare,4,3,0.4747977636088399
text-embedding-ada-002,welfare,1,8,0.5137562147966995
model2vecdk,welfare,1,8,0.39873550926753915
M2V_base_glove,welfare,11,3,0.029145782842977294
mxbai-embed-large-v1,welfare,2,3,0.1826138582935571
Qwen3-Embedding-0.6B,welfare,2,6,0.29287564013367123
model2vecdk-stem,welfare,1,1,0.33650095207590863
nb-sbert-base,rai,Mand,1,0.35478918346043337
potion-base-4M,welfare,4,6,0.26058643296254713
EmbeddingGemma-Scandi-300m,rai,Mand,1,0.334688845236092
mmBERTscandi-base-embedding,welfare,11,2,0.3692258703957874
M2V_base_output,rai,Mand,5,0.14467872026880996
model2vecdk-stem,rai,Unknown,4,0.31963085249019874
potion-multilingual-128M,rai,Mand,4,0.26526723496937765
model2vecdk,welfare,1,9,0.3979992896675571
Qwen3-Embedding-Scandi-0.6B,welfare,3,5,0.29250497779867907
potion-base-4M,welfare,11,5,0.22531844139167856
nb-sbert-base,welfare,1,8,0.514911076477885
M2V_base_output,welfare,4,8,0.24893131415989675
potion-base-8M,rai,Unknown,6,0.09939183963274388
bge-m3,welfare,2,1,0.46558437737277214
potion-base-8M,rai,Mand,6,0.15224561587900248
potion-base-8M,welfare,3,6,0.20042025880868455
M2V_base_glove_subword,welfare,1,5,0.21204207588881105
snowflake-arctic-embed-l-v2.0,rai,Mand,7,0.33548055662469656
model2vecdk,rai,Unknown,8,0.30545094878342177
potion-multilingual-128M,rai,Mand,0,0.26662164435729285
text-embedding-3-large,welfare,2,5,0.47346545735968903
static-similarity-mrl-multilingual-v1,rai,Unknown,0,0.2654878623252658
paraphrase-multilingual-MiniLM-L12-v2,welfare,11,2,0.5211903849803009
static-similarity-mrl-multilingual-v1,rai,Kvinde,5,0.21509359487574178
Qwen3-Embedding-Scandi-0.6B,rai,Unknown,7,0.3847133123479059
potion-base-2M,welfare,3,4,0.17902992964287842
nb-sbert-base,rai,Unknown,8,0.3810498948901044
model2vecdk,welfare,2,1,0.3219882190354891
M2V_base_glove_subword,welfare,11,7,0.23793343947850262
nb-sbert-base,rai,Mand,3,0.3584138434127775
Qwen3-Embedding-0.6B,welfare,1,4,0.3305232260641481
M2V_base_output,welfare,4,2,0.2573568591555263
M2V_base_glove_subword,rai,Kvinde,8,0.11859620548767791
mxbai-embed-large-v1,welfare,3,5,0.18976051002821998
xlm-roberta-base,welfare,3,4,0.05549177196655697
potion-base-4M,rai,Mand,2,0.14976181075129785
xlm-roberta-base,rai,Unknown,1,0.1637218650039153
bge-m3,rai,Unknown,9,0.3739316400631365
model2vecdk,welfare,3,2,0.37769055878339425
m2v-dfm-large,rai,Mand,3,0.32526658170888784
model2vecdk,welfare,1,5,0.39816138982461347
paraphrase-multilingual-mpnet-base-v2,welfare,2,5,0.5052063869319333
Qwen3-Embedding-0.6B,welfare,1,0,0.32600714128561636
static-similarity-mrl-multilingual-v1,welfare,11,8,0.33449743373423263
dfm-sentence-encoder-large,welfare,11,4,0.3352345449628213
m2v-dfm-large,welfare,1,0,0.41954662574291673
text-embedding-3-large,rai,Unknown,1,0.44774380601036773
potion-base-4M,rai,Unknown,4,0.08287099944925191
text-embedding-ada-002,rai,Unknown,2,0.4149427175059321
EmbeddingGemma-Scandi-300m,welfare,11,5,0.5156230023696184
potion-base-2M,rai,Kvinde,4,0.11345221514600974
potion-base-2M,rai,Mand,5,0.13836699849557396
M2V_base_glove_subword,rai,Unknown,7,0.11710706461276468
multilingual-e5-large-instruct,rai,Kvinde,7,0.417461416917708
paraphrase-multilingual-MiniLM-L12-v2,rai,Mand,8,0.3252454366704777
mxbai-embed-large-v1,welfare,4,9,0.1779649274790915
dfm-sentence-encoder-large,rai,Unknown,4,0.3189857599409263
text-embedding-3-small,rai,Unknown,1,0.35483816680949576
text-embedding-3-large,welfare,2,4,0.47072454540865216
static-similarity-mrl-multilingual-v1,welfare,11,2,0.33092390210050354
potion-base-2M,welfare,2,4,0.15275708921521927
m2v-dfm-large,rai,Unknown,4,0.3678071860394185
paraphrase-multilingual-MiniLM-L12-v2,welfare,4,1,0.5086678428381963
multilingual-e5-large-instruct,welfare,4,1,0.47314155121298823
dfm-sentence-encoder-large,welfare,2,2,0.31338255660318365
Qwen3-Embedding-0.6B,welfare,11,7,0.28567034824088877
bge-m3,welfare,4,2,0.43168879788711584
Qwen3-Embedding-0.6B,rai,Kvinde,6,0.1668833799173256
xlm-roberta-base,welfare,2,6,0.05982018697318278
mmBERTscandi-base-embedding,rai,Mand,0,0.28201886567907525
nb-sbert-base,rai,Kvinde,2,0.35592592514869253
multilingual-e5-base,welfare,3,7,0.36543036395558437
LaBSE,welfare,2,7,0.41887519740949214
mxbai-embed-large-v1,rai,Kvinde,3,0.17481621949502932
multilingual-e5-small,welfare,2,5,0.34166532715371867
M2V_base_glove,welfare,11,1,0.028062124057457526
model2vecdk-stem,welfare,11,6,0.392099997554609
multilingual-e5-base,rai,Mand,8,0.28813343363086447
Qwen3-Embedding-0.6B,rai,Kvinde,8,0.16552149957233728
text-embedding-3-large,welfare,3,8,0.4899959966722483
LaBSE,welfare,1,6,0.48137364740068894
dfm-sentence-encoder-large,welfare,11,0,0.3320773902622857
potion-multilingual-128M,welfare,11,4,0.429769759727477
Qwen3-Embedding-Scandi-0.6B,rai,Mand,6,0.2813601582382925
mxbai-embed-large-v1,welfare,11,0,0.2201785908056954
M2V_base_glove,welfare,3,1,-0.01428970672644683
xlm-roberta-large,rai,Unknown,4,0.14707059090632632
potion-base-2M,rai,Unknown,4,0.0874883152230676
EmbeddingGemma-Scandi-300m,welfare,3,3,0.5201763756650385
potion-base-8M,welfare,3,7,0.20832936420119952
m2v-dfm-large,welfare,3,8,0.40247364179934486
static-similarity-mrl-multilingual-v1,rai,Kvinde,7,0.21373526958736458
nb-sbert-base,welfare,2,3,0.4700343474682935
Qwen3-Embedding-0.6B,welfare,4,3,0.19722678779001146
multilingual-e5-base,welfare,2,8,0.3671651195039986
Qwen3-Embedding-Scandi-0.6B,rai,Mand,5,0.2780327740554444
M2V_base_glove_subword,welfare,3,3,0.19683247897596845
mmBERTscandi-base-embedding,rai,Kvinde,3,0.2838562057207037
model2vecdk-stem,rai,Unknown,6,0.3256493648744595
paraphrase-multilingual-mpnet-base-v2,welfare,1,8,0.5720559077533286
M2V_base_glove,welfare,1,5,-0.013697514220130796
multilingual-e5-small,rai,Kvinde,1,0.27861509063850004
multilingual-e5-large-instruct,welfare,4,4,0.4748019548124141
snowflake-arctic-embed-l-v2.0,welfare,4,4,0.46032526578875105
paraphrase-multilingual-MiniLM-L12-v2,rai,Mand,2,0.326740794025142
multilingual-e5-base,rai,Kvinde,4,0.2903923269224769
mxbai-embed-large-v1,rai,Mand,6,0.2138254121798475
potion-base-4M,rai,Kvinde,0,0.11451822752473038
multilingual-e5-large,welfare,3,2,0.3962051522387479
multilingual-e5-large-instruct,welfare,2,9,0.5164777377562504
model2vecdk,welfare,3,5,0.38161846461066207
potion-base-4M,rai,Mand,9,0.1450932530275691
model2vecdk,rai,Mand,7,0.2767465651794945
potion-base-2M,rai,Mand,6,0.13501470342761987
M2V_base_glove_subword,rai,Kvinde,3,0.12051715532613433
potion-base-2M,rai,Kvinde,9,0.11103361787384661
nb-sbert-base,rai,Unknown,5,0.38576100628540644
snowflake-arctic-embed-l-v2.0,welfare,11,5,0.46865034355714635
model2vecdk,welfare,3,6,0.37791881715231634
mmBERTscandi-base-embedding,welfare,2,4,0.34392386470644104
bge-m3,rai,Kvinde,5,0.33681133897586285
snowflake-arctic-embed-l-v2.0,welfare,2,2,0.48827194059970475
text-embedding-3-small,welfare,3,0,0.4599241189780047
potion-base-4M,rai,Kvinde,4,0.11823501675376198
snowflake-arctic-embed-l-v2.0,welfare,11,2,0.46639496152566373
bge-m3,rai,Kvinde,3,0.33725974879416537
Qwen3-Embedding-0.6B,rai,Mand,4,0.14625560826323217
bge-m3,welfare,11,9,0.4482025809320269
potion-multilingual-128M,welfare,1,9,0.4403694464455457
xlm-roberta-large,welfare,11,7,0.1282865207919238
Qwen3-Embedding-Scandi-0.6B,rai,Unknown,2,0.39178995732650496
multilingual-e5-base,welfare,3,6,0.37538776086633624
Qwen3-Embedding-0.6B,rai,Unknown,4,0.23085866480678477
potion-base-4M,welfare,4,9,0.26501757345180404
multilingual-e5-large,welfare,2,7,0.39458272737604544
xlm-roberta-large,rai,Mand,7,0.12592006993272836
potion-multilingual-128M,welfare,4,5,0.40956722882463625
multilingual-e5-base,welfare,1,9,0.40786028809450686
mmBERTscandi-base-embedding,rai,Unknown,1,0.3520377193644158
M2V_base_output,welfare,3,7,0.19669082400769264
model2vecdk-stem,rai,Unknown,7,0.3285286907907316
snowflake-arctic-embed-l-v2.0,rai,Kvinde,5,0.35840304923323313
m2v-dfm-large,welfare,3,7,0.40595075574034534
nb-sbert-base,rai,Mand,0,0.35496125693401714
nb-sbert-base,welfare,11,9,0.48073637706729233
EmbeddingGemma-Scandi-300m,welfare,3,5,0.5141114772800295
xlm-roberta-base,rai,Unknown,8,0.1661726778007917
Qwen3-Embedding-Scandi-0.6B,welfare,11,4,0.28578162275299585
paraphrase-multilingual-mpnet-base-v2,rai,Unknown,5,0.4259133585680994
m2v-dfm-large,welfare,3,5,0.4080390367075433
multilingual-e5-large,welfare,3,4,0.3997265455215283
static-similarity-mrl-multilingual-v1,rai,Unknown,6,0.24110452256999745
model2vecdk,rai,Unknown,5,0.3280258795116832
dfm-sentence-encoder-large,welfare,11,6,0.3360200070036064
mxbai-embed-large-v1,rai,Kvinde,1,0.17554999343347957
multilingual-e5-base,welfare,1,5,0.40714103181512407
static-similarity-mrl-multilingual-v1,welfare,4,5,0.26696122625962354
xlm-roberta-large,rai,Kvinde,3,0.13126317910885313
paraphrase-multilingual-MiniLM-L12-v2,rai,Kvinde,9,0.3424657699303602
bge-m3,welfare,3,2,0.42869708923451777
paraphrase-multilingual-mpnet-base-v2,welfare,4,6,0.5325154787044234
paraphrase-multilingual-MiniLM-L12-v2,welfare,3,6,0.4903713939959591
nb-sbert-base,welfare,2,1,0.4647286029152036
xlm-roberta-large,rai,Mand,4,0.12658850616954048
nb-sbert-base,welfare,1,0,0.5191814196659942
xlm-roberta-base,welfare,2,7,0.0658594651524915
paraphrase-multilingual-MiniLM-L12-v2,rai,Kvinde,0,0.34463522983984685
text-embedding-ada-002,rai,Unknown,5,0.4032630598218241
text-embedding-3-small,welfare,3,2,0.4605202361187725
Qwen3-Embedding-0.6B,rai,Mand,8,0.14718710446317035
EmbeddingGemma-Scandi-300m,welfare,2,4,0.46371371547639667
Qwen3-Embedding-Scandi-0.6B,welfare,1,6,0.3543685660603582
nb-sbert-base,rai,Kvinde,8,0.35603347942713554
multilingual-e5-base,rai,Unknown,7,0.3615913745311931
xlm-roberta-base,welfare,11,8,0.07443776192990054
paraphrase-multilingual-mpnet-base-v2,welfare,3,1,0.5206947700257576
m2v-dfm-large,welfare,2,7,0.3366466025391943
multilingual-e5-large,welfare,3,3,0.39646349002620257
LaBSE,welfare,4,4,0.3943417013522969
paraphrase-multilingual-mpnet-base-v2,welfare,11,2,0.5443182518575207
static-similarity-mrl-multilingual-v1,welfare,3,0,0.32598029351843666
nb-sbert-base,rai,Kvinde,0,0.35709624402431417
M2V_base_glove_subword,welfare,11,8,0.23855998244707177
potion-base-2M,welfare,2,1,0.15324225246101655
potion-base-2M,welfare,1,9,0.18518099473984562
EmbeddingGemma-Scandi-300m,welfare,11,7,0.5155664436677118
m2v-dfm-large,welfare,2,5,0.33342414095063644
potion-base-8M,welfare,3,3,0.21220356669392404
paraphrase-multilingual-mpnet-base-v2,rai,Unknown,6,0.443008535590466
Qwen3-Embedding-0.6B,rai,Mand,0,0.14825889475974516
text-embedding-3-small,welfare,4,9,0.46925199454848626
bge-m3,welfare,2,6,0.45741464250285574
M2V_base_output,rai,Kvinde,0,0.11987038282179162
EmbeddingGemma-Scandi-300m,welfare,1,9,0.48828364428427434
mxbai-embed-large-v1,welfare,3,0,0.19050056276082106
potion-base-4M,welfare,1,5,0.20369752283758677
nb-sbert-base,welfare,11,4,0.48564576277786403
static-similarity-mrl-multilingual-v1,rai,Unknown,2,0.24985434669727022
LaBSE,rai,Unknown,1,0.34692826304616015
EmbeddingGemma-Scandi-300m,welfare,11,0,0.5207691412514426
mmBERTscandi-base-embedding,welfare,2,1,0.34670203727240073
multilingual-e5-large-instruct,welfare,3,4,0.5160373322405428
model2vecdk,rai,Kvinde,4,0.29139516031559237
static-similarity-mrl-multilingual-v1,rai,Mand,7,0.2433093917800239
text-embedding-3-small,welfare,1,6,0.49796322440536506
Qwen3-Embedding-0.6B,welfare,11,1,0.2899550617872981
multilingual-e5-large-instruct,welfare,2,6,0.5133266139242262
dfm-sentence-encoder-large,welfare,4,4,0.36230974579436315
nb-sbert-base,rai,Mand,6,0.357810659760444
paraphrase-multilingual-MiniLM-L12-v2,rai,Unknown,7,0.3824659164637652
bge-m3,welfare,2,7,0.45799795796279774
xlm-roberta-base,welfare,1,7,0.08575312599744898
multilingual-e5-large,welfare,1,9,0.4298868570210954
Qwen3-Embedding-Scandi-0.6B,welfare,3,7,0.29357605052931696
EmbeddingGemma-Scandi-300m,welfare,2,7,0.4533625068464289
static-similarity-mrl-multilingual-v1,welfare,1,7,0.3564629578583406
EmbeddingGemma-Scandi-300m,welfare,11,6,0.5136210600839182
potion-multilingual-128M,welfare,4,8,0.41375340404029076
static-similarity-mrl-multilingual-v1,rai,Kvinde,3,0.21173416088789948
multilingual-e5-small,welfare,4,9,0.34496674360883345
mxbai-embed-large-v1,rai,Unknown,8,0.24622669625390073
Qwen3-Embedding-0.6B,welfare,2,8,0.2835220689746767
potion-base-8M,rai,Kvinde,4,0.12739116946996842
xlm-roberta-large,welfare,4,0,0.1778773965973396
Qwen3-Embedding-0.6B,welfare,2,2,0.2891633032954204
paraphrase-multilingual-mpnet-base-v2,rai,Unknown,3,0.4235163380110599
xlm-roberta-base,welfare,2,1,0.05657994194705349
xlm-roberta-large,welfare,4,5,0.17655087383572077
potion-multilingual-128M,welfare,2,6,0.31665632508518027
multilingual-e5-large,welfare,1,7,0.42388592646929285
multilingual-e5-large-instruct,welfare,4,8,0.4721280481478141
mxbai-embed-large-v1,rai,Mand,4,0.21025740703253276
LaBSE,rai,Unknown,3,0.34196926378765197
multilingual-e5-base,welfare,3,9,0.37014949158953525
potion-base-8M,welfare,4,9,0.26141966302025016
text-embedding-3-large,rai,Kvinde,8,0.3926909281142798
mmBERTscandi-base-embedding,rai,Unknown,4,0.3512559817650981
model2vecdk-stem,rai,Kvinde,8,0.2902439604348094
model2vecdk,welfare,2,5,0.3312360671177826
multilingual-e5-large,welfare,11,7,0.3991510159179629
multilingual-e5-large,welfare,3,6,0.3968638952893754
EmbeddingGemma-Scandi-300m,rai,Mand,4,0.331820612729404
LaBSE,welfare,11,6,0.4413053099849742
bge-m3,welfare,11,1,0.43926140936125163
potion-base-4M,welfare,1,7,0.2114905048843599
model2vecdk,welfare,1,7,0.3977110945295285
multilingual-e5-large,rai,Mand,1,0.3024359224307493
snowflake-arctic-embed-l-v2.0,welfare,3,6,0.45109360982086727
LaBSE,welfare,2,4,0.4206628947111686
m2v-dfm-large,rai,Unknown,6,0.35931480611717914
potion-multilingual-128M,welfare,3,4,0.3874576367533484
text-embedding-3-large,welfare,4,4,0.44025852778193086
xlm-roberta-large,welfare,3,5,0.15974673474480194
potion-base-4M,rai,Mand,3,0.15259685184268965
dfm-sentence-encoder-large,welfare,11,3,0.3377423356528546
multilingual-e5-large,welfare,2,0,0.3986378095662994
xlm-roberta-base,rai,Unknown,5,0.1835746530012963
EmbeddingGemma-Scandi-300m,welfare,11,3,0.5116211070215985
multilingual-e5-base,welfare,1,2,0.4079911194592889
M2V_base_glove_subword,welfare,11,9,0.23999588807866787
potion-base-4M,welfare,2,6,0.16653331323997958
bge-m3,rai,Mand,7,0.3183558753791806
mmBERTscandi-base-embedding,welfare,11,5,0.37008246453440746
bge-m3,rai,Mand,1,0.31814860875460527
model2vecdk-stem,welfare,2,4,0.2768386052794222
snowflake-arctic-embed-l-v2.0,welfare,4,9,0.45953095343674605
model2vecdk,welfare,4,2,0.3665821147177047
mmBERTscandi-base-embedding,welfare,3,7,0.35222422132918413
M2V_base_glove,rai,Unknown,9,0.021270071223720165
model2vecdk,welfare,11,8,0.40510650501524537
multilingual-e5-large-instruct,welfare,4,2,0.4762206341694359
paraphrase-multilingual-MiniLM-L12-v2,rai,Kvinde,8,0.34270079980424795
multilingual-e5-large-instruct,welfare,11,6,0.48379887779672365
potion-multilingual-128M,rai,Mand,7,0.2679087956527931
potion-base-4M,welfare,4,5,0.25788280210105935
paraphrase-multilingual-MiniLM-L12-v2,welfare,1,0,0.5465599162205171
xlm-roberta-base,rai,Kvinde,5,0.15577486019903694
mmBERTscandi-base-embedding,welfare,4,3,0.38881745869618095
paraphrase-multilingual-MiniLM-L12-v2,welfare,11,9,0.5237736082808208
potion-multilingual-128M,welfare,1,1,0.44488757160815245
potion-base-2M,welfare,2,2,0.1470778445365596
multilingual-e5-base,rai,Mand,0,0.28657829670367785
m2v-dfm-large,rai,Kvinde,5,0.31370595293076453
multilingual-e5-small,welfare,1,2,0.4115515854832097
Qwen3-Embedding-0.6B,welfare,4,4,0.19672820592907259
mmBERTscandi-base-embedding,rai,Unknown,7,0.35763170911722547
bge-m3,welfare,4,8,0.42862015289855454
xlm-roberta-base,rai,Unknown,6,0.18168115121505923
xlm-roberta-base,welfare,11,4,0.06601755820971682
LaBSE,welfare,2,0,0.4176649951072695
m2v-dfm-large,welfare,1,5,0.4202502949301525
model2vecdk-stem,rai,Mand,5,0.28685947460056355
mmBERTscandi-base-embedding,welfare,11,9,0.36704848762852627
snowflake-arctic-embed-l-v2.0,welfare,1,9,0.5012285801392803
dfm-sentence-encoder-large,welfare,2,8,0.3056735795383468
M2V_base_glove,welfare,3,8,-0.01656601131495684
LaBSE,rai,Kvinde,8,0.2854983567360083
potion-base-2M,welfare,1,8,0.17063209585614725
Qwen3-Embedding-Scandi-0.6B,welfare,3,1,0.2930754604265919
LaBSE,welfare,1,5,0.48785327511021487
multilingual-e5-small,welfare,4,7,0.3504153340387859
m2v-dfm-large,rai,Mand,5,0.32471881077769654
snowflake-arctic-embed-l-v2.0,rai,Kvinde,7,0.35816986024832603
potion-base-2M,rai,Unknown,1,0.09857916562555193
